#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) 
16384 128.984451 58.650970 120.878220 43.392181 125.169754 48.637390 110.864639 34.093857 129.938126 52.690506 114.440918 37.670135 7.390976 6.437302 103.950500 26.702881 
16384 220.298767 40.054321 211.715698 24.080276 210.046768 29.802322 201.940536 14.781952 221.252441 33.140182 205.039978 18.596649 7.629395 6.914139 194.787979 8.344650 
16384 80.347061 68.426132 72.479248 52.928925 76.770782 56.982040 15.735626 43.869019 80.823898 62.465668 20.027161 47.683716 6.914139 8.583069 9.059906 36.954880 
16384 123.262405 111.818314 114.917755 95.844269 119.924545 100.851059 18.119812 86.307526 123.977661 105.142593 21.696091 90.360641 6.914139 6.675720 13.113022 79.870224 
16384 56.743622 46.014786 49.352646 30.040741 53.644180 36.001205 14.781952 23.841858 57.220459 39.815903 18.835068 28.133392 7.152557 6.675720 8.821487 16.927719 
16384 65.803528 45.061111 57.220459 30.279160 62.465668 35.047531 15.258789 15.258789 66.518784 38.862228 32.186508 19.311905 6.914139 7.629395 10.251999 8.344650 
16384 112.295151 100.374222 103.712082 84.877014 108.480453 90.122223 15.497208 75.101852 113.010406 94.175339 19.550323 79.393387 7.629395 6.914139 8.821487 68.426132 
16384 65.088272 53.882599 56.743622 37.908554 61.750412 25.987625 21.219254 27.894974 65.565109 47.445297 24.557114 31.948090 7.152557 7.152557 14.066696 21.696091 
16384 219.106674 39.577484 210.762024 24.557114 215.530396 29.802322 200.748444 14.781952 219.345093 33.378601 204.324722 18.596649 6.914139 6.675720 193.834305 8.583069 
16384 53.405762 39.100647 45.299530 24.557114 49.829483 28.610229 14.305115 15.497208 53.882599 33.140182 18.358231 19.073486 6.914139 7.390976 8.583069 8.821487 
16384 67.472458 55.551529 58.889389 39.577484 64.134598 45.299530 15.020370 30.040741 68.426132 49.591064 19.311905 33.617020 6.675720 8.583069 8.821487 23.126602 
16384 164.270401 152.826309 156.402588 137.567520 161.409378 142.812729 24.557114 128.030777 164.985657 146.389008 28.133392 132.083893 7.152557 6.914139 17.166138 122.308731 
16384 89.645386 78.201294 81.062317 51.021576 86.545944 68.187714 26.702881 41.246414 90.360641 72.002411 30.279160 45.537949 6.914139 7.152557 20.265579 35.047531 
16384 59.366226 39.339066 34.570694 24.080276 56.266785 29.087067 40.292740 14.543533 60.081482 32.901764 28.371811 18.358231 6.675720 6.675720 34.093857 8.583069 
16384 72.002411 61.035156 63.657761 45.299530 68.902969 50.306320 14.781952 36.716461 72.479248 54.597855 18.596649 39.815903 6.675720 7.152557 8.821487 30.517578 
16384 2374.172211 1693.010330 1971.006393 529.289246 2199.888229 1013.994217 308.990479 171.422958 2388.477325 1410.484314 547.885895 523.567200 6.914139 6.675720 18.596649 21.457672 
16384 394.582748 365.972519 376.224518 241.994858 408.411026 285.625458 228.643417 135.898590 395.298004 331.163406 325.202942 236.034393 149.250031 216.722488 55.551529 53.644180 
16384 1708.984375 1697.301865 1700.639725 1677.751541 1705.884933 1685.857773 189.304352 1665.830612 1709.699631 1691.341400 193.357468 1672.744751 6.914139 22.888184 183.343887 1661.300659 
16384 216.007233 180.721283 207.662582 165.462494 212.430954 158.071518 197.410583 155.448914 216.722488 174.045563 201.702118 159.978867 8.344650 26.464462 190.734863 149.011612 
16384 205.755234 194.549561 198.125839 132.083893 201.940536 183.582306 25.749207 82.492828 206.470490 187.873840 29.802322 126.123428 7.390976 6.914139 19.788742 77.724457 
16384 86.784363 72.002411 78.678131 59.366226 83.446503 61.988831 21.934509 49.829483 87.738037 65.326691 25.749207 54.359436 7.629395 13.589859 15.974045 43.630600 
16384 166.654587 154.018402 123.977661 123.023987 163.078308 128.507614 76.293945 87.976456 167.131424 147.581100 80.108643 117.301941 6.914139 6.914139 70.095062 82.731247 
16384 308.990479 294.446945 300.645828 293.254852 306.367874 284.433365 154.972076 253.200531 309.944153 288.724899 159.263611 272.035599 7.152557 7.390976 149.488449 240.325928 
16384 118.017197 87.499619 109.434128 66.041946 114.440918 76.770782 98.466873 56.505203 118.732452 81.300735 103.235245 60.558319 6.914139 7.152557 92.267990 50.067902 
16384 368.833542 357.389450 360.250473 340.938568 365.495682 347.137451 339.508057 329.971313 369.548798 351.190567 343.799591 335.216522 7.390976 6.914139 332.832336 324.964523 
16384 211.000443 199.556351 202.655792 181.198120 207.185745 189.542770 145.196915 171.184540 211.715698 193.357468 148.057938 175.714493 6.914139 8.583069 138.759613 165.462494 
16384 102.996826 92.029572 95.129013 75.817108 99.658966 81.300735 34.570694 66.757202 103.950500 85.353851 38.385391 70.571899 7.390976 6.914139 28.133392 60.796738 
16384 226.736069 215.053558 218.391418 199.556351 210.762024 204.801559 175.952911 189.304352 227.451324 208.854675 179.529190 194.072723 6.675720 6.675720 169.277191 182.628632 
16384 163.316727 152.111053 155.687332 133.275986 160.694122 138.521194 92.983246 123.739243 164.270401 145.673752 97.036362 127.792358 7.152557 7.152557 86.545944 117.778778 
16384 117.540359 104.904175 109.434128 88.930130 114.202499 94.890594 45.776367 79.631805 118.255615 98.228455 49.829483 83.446503 6.675720 7.390976 39.577484 89.883804 
16384 151.634216 135.421753 138.998032 119.686127 143.051147 124.931335 74.863434 68.187714 152.111053 128.984451 78.678131 114.202499 6.914139 6.914139 120.401382 63.419342 
16384 69.379807 57.697296 61.035156 42.200089 66.518784 47.206879 17.881393 32.901764 69.856644 51.736832 21.457672 36.716461 7.152557 6.675720 10.967255 26.702881 
16384 178.098679 166.654587 169.515610 151.157379 174.760818 156.641006 100.374222 141.620636 178.813934 160.455704 103.950500 145.673752 6.914139 7.152557 94.175339 135.421753 
16384 131.607056 119.924545 123.500824 104.188919 128.030777 109.434128 35.762787 94.890594 132.083893 113.487244 39.815903 99.182129 6.675720 6.914139 29.802322 88.930130 
16384 132.560730 123.500824 123.977661 107.049942 128.746033 112.771988 60.796738 96.797943 133.514404 117.063522 64.373016 101.804733 6.914139 7.152557 54.121017 90.599060 
16384 82.015991 59.604645 73.909760 38.862228 78.678131 49.114227 63.657761 29.563904 82.731247 53.167343 67.949295 33.378601 7.390976 7.152557 57.220459 23.126602 
16384 79.154968 67.710876 72.240829 55.074692 75.578690 56.982040 22.172928 41.961670 79.631805 60.796738 26.226044 46.014786 6.675720 6.914139 15.497208 36.239624 
16384 146.627426 134.706497 138.044357 108.480453 142.812729 113.487244 68.902969 98.943710 147.104263 117.063522 73.432922 102.758408 6.675720 6.675720 62.942505 92.506409 
16384 1711.130142 1697.063446 1700.162888 1679.897308 1705.646515 1685.380936 97.990036 1669.645309 1711.845398 1690.626144 115.394592 1674.413681 6.675720 7.629395 85.830688 1663.446426 
16384 400.066376 388.383865 391.483307 372.409821 397.205353 377.893448 363.111496 362.873077 400.781631 381.946564 367.403030 366.687775 7.867813 7.152557 356.674194 471.353531 
16384 299.930573 286.579132 292.301178 270.366669 296.831131 275.373459 225.543976 260.114670 300.884247 280.618668 231.027603 265.836716 7.152557 21.219254 220.298767 253.677368 
16384 251.054764 103.473663 242.710114 87.499619 247.955322 92.744827 232.458115 78.439713 251.770020 97.513199 236.511230 82.015991 6.675720 6.675720 226.259232 72.002411 
16384 124.216080 113.248825 116.348267 97.036362 121.116638 102.281570 102.996826 87.499619 124.931335 106.811523 107.049942 91.314316 7.152557 7.152557 96.559525 81.300735 
16384 154.018402 142.574310 145.673752 127.553940 150.918961 133.037567 116.825104 117.540359 154.972076 136.375427 121.116638 121.355057 7.152557 6.675720 144.958496 111.103058 
