#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) 
16 1.907349 4.053116 2.861023 1.668930 
16 3.099442 4.291534 2.861023 1.430511 
16 1.668930 3.814697 2.622604 1.668930 
16 17.881393 20.503998 3.099442 1.668930 
16 0.238419 3.337860 2.622604 1.430511 
16 45.299530 25.033951 2.622604 1.430511 
16 30.279160 3.814697 30.517578 1.430511 
16 5.245209 3.337860 2.384186 1.430511 
16 1.668930 3.576279 2.622604 1.668930 
16 1.668930 3.337860 2.861023 1.430511 
16 5.006790 7.152557 2.861023 1.430511 
16 1.907349 4.053116 2.384186 1.430511 
16 1.907349 3.814697 2.622604 1.430511 
16 1.907349 3.576279 2.384186 1.668930 
16 1.907349 4.053116 2.622604 1.430511 
16 1.668930 4.053116 2.622604 1.430511 
16 1.907349 3.576279 3.337860 1.430511 
16 2.145767 4.291534 2.384186 1.430511 
16 1.192093 3.337860 2.861023 1.430511 
16 0.238419 4.291534 3.337860 1.430511 
16 20.027161 4.291534 2.861023 1.430511 
16 3.099442 5.722046 2.861023 1.668930 
16 2.384186 3.814697 2.622604 1.430511 
16 1.907349 4.291534 2.861023 1.430511 
16 2.145767 4.291534 2.622604 1.430511 
16 2.145767 3.576279 3.099442 1.668930 
16 1.907349 3.814697 2.384186 1.430511 
16 2.145767 3.814697 2.622604 1.668930 
16 1.907349 3.814697 2.861023 1.430511 
16 1.668930 4.291534 2.622604 1.430511 
16 2.861023 3.814697 2.384186 1.430511 
16 1.907349 3.814697 3.337860 1.430511 
16 2.384186 3.814697 2.622604 1.430511 
16 2.145767 3.814697 2.622604 1.668930 
16 14.543533 3.576279 16.212463 1.668930 
16 1.907349 4.053116 2.861023 1.430511 
16 2.145767 4.053116 2.622604 1.430511 
16 43.630600 46.968460 2.384186 1.430511 
16 11.205673 4.053116 11.205673 1.668930 
16 2.622604 3.576279 2.622604 1.430511 
16 1.430511 4.053116 2.622604 1.668930 
16 3.576279 4.291534 2.622604 1.430511 
16 1.668930 3.814697 2.861023 1.430511 
16 18.358231 3.576279 2.384186 1.430511 
16 20.503998 17.881393 3.099442 1.430511 
16 1.668930 4.291534 2.861023 1.668930 
16 2.384186 3.814697 2.861023 1.430511 
16 4.291534 6.914139 2.384186 1.668930 
16 1.907349 4.053116 3.576279 1.430511 
16 2.145767 4.053116 3.099442 1.668930 
16 1.668930 3.814697 2.384186 1.430511 
16 29.087067 21.934509 2.861023 1.907349 
16 8.821487 11.205673 2.384186 1.668930 
16 1.907349 4.291534 2.861023 1.668930 
16 1.907349 3.576279 2.861023 1.430511 
16 1.907349 4.291534 2.861023 1.430511 
16 1.668930 3.814697 3.099442 1.430511 
16 2.622604 4.768372 2.622604 1.430511 
16 1.668930 3.814697 2.384186 1.668930 
16 1.430511 3.814697 2.622604 1.668930 
16 1.907349 4.053116 3.099442 1.430511 
16 1.907349 3.814697 2.622604 1.668930 
16 13.589859 4.053116 15.258789 1.430511 
16 1.430511 3.576279 2.622604 1.668930 
16 1.430511 3.814697 2.861023 1.668930 
16 0.953674 4.291534 2.861023 1.430511 
16 1.668930 4.291534 2.861023 1.668930 
16 24.080276 26.464462 3.099442 1.430511 
16 2.145767 4.053116 3.576279 1.668930 
16 92.983246 94.175339 3.099442 1.430511 
16 1.668930 3.814697 2.622604 1.668930 
16 2.622604 4.053116 2.861023 1.430511 
16 4.053116 5.722046 2.622604 1.668930 
16 1.907349 3.814697 2.861023 1.430511 
16 1.668930 4.053116 2.861023 1.430511 
16 1.907349 3.337860 2.861023 1.430511 
16 1.907349 4.291534 2.622604 1.668930 
16 2.384186 3.814697 2.622604 1.668930 
16 1.430511 4.053116 2.622604 1.668930 
16 1.668930 3.337860 3.099442 1.430511 
16 5.006790 7.152557 2.861023 1.430511 
16 1.668930 4.529953 2.622604 1.430511 
16 1.668930 3.814697 2.861023 1.668930 
16 2.384186 4.053116 2.861023 1.668930 
16 2.622604 3.814697 3.099442 1.430511 
16 1.907349 4.291534 3.337860 1.668930 
16 1.430511 3.814697 2.861023 1.430511 
16 2.622604 3.814697 4.053116 1.430511 
16 1.907349 4.053116 2.622604 1.668930 
16 1.907349 4.053116 2.861023 1.668930 
16 73.432922 75.101852 2.622604 1.668930 
16 10.251999 12.874603 4.053116 1.668930 
16 1.907349 4.291534 2.861023 1.668930 
16 1.192093 4.053116 2.622604 1.430511 
16 1.430511 4.053116 2.861023 1.668930 
16 1.907349 4.053116 2.861023 1.430511 
16 14.781952 17.642975 2.384186 1.430511 
16 22.888184 4.291534 22.888184 1.668930 
16 20.503998 3.576279 20.742416 1.668930 
16 30.517578 13.113022 27.656555 1.668930 
16 3.099442 3.576279 2.622604 1.430511 
16 11.205673 3.099442 2.384186 1.430511 
16 1.907349 3.814697 3.099442 1.430511 
16 1.907349 4.291534 2.622604 1.430511 
16 2.145767 4.053116 2.622604 1.430511 
16 2.145767 3.814697 2.861023 1.430511 
16 2.622604 4.053116 2.622604 1.430511 
16 30.279160 31.471252 2.622604 1.668930 
16 2.145767 3.814697 2.622604 1.430511 
16 2.145767 4.529953 3.099442 1.668930 
16 1.668930 3.576279 2.861023 1.430511 
16 2.145767 4.529953 2.861023 1.430511 
16 17.642975 19.788742 2.861023 1.430511 
16 1.668930 3.814697 2.861023 1.668930 
16 1.430511 4.053116 2.861023 1.430511 
16 1.668930 3.814697 2.861023 1.668930 
16 2.145767 4.291534 3.099442 1.668930 
16 1.907349 3.576279 2.384186 1.668930 
16 1.668930 3.814697 3.099442 1.430511 
16 1.668930 4.053116 2.622604 1.430511 
16 2.145767 3.814697 2.622604 1.430511 
16 1.430511 4.529953 2.622604 1.668930 
16 1.430511 3.576279 2.622604 1.430511 
16 1.907349 3.576279 2.384186 1.430511 
16 1.192093 3.814697 2.384186 1.430511 
16 1.430511 4.053116 2.861023 1.668930 
16 1.907349 3.814697 2.861023 1.430511 
16 1.430511 3.814697 2.384186 1.430511 
16 2.384186 3.814697 2.861023 1.430511 
16 1.192093 3.814697 2.861023 1.668930 
16 1.430511 3.814697 2.622604 1.430511 
16 1.430511 4.053116 2.384186 1.668930 
16 1.907349 4.053116 2.861023 1.430511 
16 1.907349 3.337860 2.384186 1.430511 
16 1.907349 3.814697 3.099442 1.668930 
16 2.145767 3.814697 2.622604 1.430511 
16 1.430511 3.814697 2.622604 1.430511 
16 2.145767 3.814697 2.622604 1.430511 
16 1.668930 3.337860 2.622604 1.430511 
16 1.668930 3.814697 2.861023 1.668930 
16 1.430511 3.814697 2.861023 1.668930 
16 1.668930 3.814697 2.384186 1.668930 
16 1.430511 3.576279 2.861023 1.430511 
16 2.145767 3.814697 2.622604 1.430511 
16 2.622604 3.814697 3.099442 1.430511 
16 2.861023 4.053116 2.861023 1.430511 
16 2.145767 4.053116 2.384186 1.430511 
16 2.145767 3.576279 2.861023 1.668930 
16 2.384186 4.529953 20.742416 1.430511 
16 37.908554 43.392181 21.696091 1.430511 
16 3.337860 4.053116 2.861023 1.668930 
16 2.622604 11.682510 2.861023 1.668930 
16 1.192093 3.814697 2.861023 1.430511 
16 10.013580 4.768372 11.205673 1.668930 
16 2.145767 4.291534 3.099442 1.430511 
16 4.529953 7.152557 2.861023 1.430511 
16 2.145767 4.053116 2.861023 1.668930 
16 2.861023 3.576279 2.622604 1.430511 
16 2.145767 3.814697 2.861023 1.430511 
16 1.907349 4.053116 2.861023 1.668930 
16 1.907349 3.576279 2.622604 1.430511 
16 1.668930 4.053116 2.861023 1.668930 
16 2.145767 4.053116 2.861023 1.430511 
16 1.430511 4.053116 2.622604 1.430511 
16 1.907349 4.053116 2.861023 1.668930 
16 17.166138 3.814697 2.384186 1.430511 
16 2.861023 3.814697 2.861023 1.668930 
16 2.145767 4.053116 2.622604 1.430511 
16 1.668930 4.053116 2.384186 1.668930 
16 1.192093 4.291534 2.861023 1.430511 
16 1.668930 3.576279 2.622604 1.430511 
16 1.668930 4.053116 3.099442 1.430511 
16 1.907349 3.814697 2.861023 1.668930 
16 1.668930 3.814697 2.622604 1.668930 
16 2.145767 4.291534 2.384186 1.668930 
16 1.668930 4.053116 2.861023 1.668930 
16 2.622604 4.053116 2.622604 1.668930 
16 1.668930 4.053116 2.622604 1.430511 
16 1.907349 4.053116 2.622604 1.430511 
16 7.629395 10.251999 2.622604 1.430511 
16 20.027161 3.814697 21.457672 1.430511 
16 19.550323 21.934509 2.861023 1.668930 
16 1.907349 3.576279 2.384186 1.668930 
16 1.907349 3.814697 2.861023 1.430511 
16 2.861023 5.483627 2.861023 1.430511 
16 1.668930 3.814697 2.384186 1.668930 
16 2.145767 3.337860 2.622604 1.430511 
16 4.768372 7.390976 3.099442 1.430511 
16 2.145767 4.053116 2.861023 1.668930 
16 1.668930 3.814697 2.861023 1.430511 
16 4.291534 7.152557 4.768372 1.668930 
16 2.861023 3.814697 3.099442 1.668930 
16 1.192093 3.814697 3.337860 1.430511 
16 45.776367 4.529953 46.253204 1.430511 
16 2.145767 3.814697 2.861023 1.668930 
16 1.907349 4.291534 3.099442 1.430511 
16 2.622604 3.576279 2.384186 1.668930 
16 1.668930 3.814697 3.099442 1.668930 
16 71.525574 102.281570 2.861023 1.668930 
16 2.384186 4.291534 2.861023 1.430511 
16 1.192093 4.053116 2.622604 1.668930 
16 1.907349 4.053116 2.622604 1.668930 
16 1.907349 3.576279 3.099442 1.430511 
16 13.113022 15.258789 2.384186 1.430511 
16 2.145767 3.814697 2.861023 1.668930 
16 1.907349 4.053116 3.099442 1.430511 
16 1.668930 4.053116 2.861023 1.668930 
16 1.430511 3.576279 2.861023 1.430511 
16 2.861023 3.576279 3.099442 1.430511 
16 2.861023 4.529953 2.861023 1.430511 
16 3.814697 4.053116 4.768372 1.668930 
16 4.291534 3.576279 5.483627 1.430511 
16 2.622604 4.053116 2.861023 1.668930 
16 1.668930 3.814697 2.622604 1.668930 
16 2.622604 4.053116 2.861023 1.430511 
16 2.861023 4.053116 2.622604 1.668930 
16 0.953674 3.814697 2.622604 1.430511 
16 2.384186 4.053116 2.861023 1.430511 
16 20.027161 4.053116 21.219254 1.430511 
16 2.622604 3.576279 2.861023 1.430511 
16 2.384186 4.053116 3.337860 1.668930 
16 1.192093 4.053116 2.622604 1.430511 
16 1.907349 4.291534 2.861023 1.430511 
16 3.576279 4.053116 3.814697 1.668930 
16 2.145767 4.768372 3.099442 1.430511 
16 1.907349 4.291534 2.622604 1.430511 
16 2.384186 3.576279 3.099442 1.430511 
16 1.668930 3.814697 2.861023 1.430511 
16 3.099442 3.814697 2.861023 1.668930 
16 1.192093 4.053116 2.622604 1.430511 
