#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) 
16384 15.974045 19.788742 28.848648 19.311905 18.835068 20.980835 28.371811 18.596649 
16384 15.020370 19.788742 28.133392 18.835068 18.358231 19.550323 27.418137 18.119812 
16384 14.543533 19.073486 26.702881 18.119812 18.119812 19.073486 26.226044 17.404556 
16384 49.352646 33.140182 62.227249 32.663345 32.663345 54.121017 61.511993 31.948090 
16384 20.980835 33.617020 33.617020 32.424927 37.431717 20.742416 32.901764 31.948090 
16384 19.550323 18.358231 28.848648 11.682510 24.080276 18.119812 24.080276 9.775162 
16384 21.934509 18.119812 36.239624 16.450882 25.510788 19.073486 36.001205 15.974045 
16384 14.781952 19.311905 27.656555 18.358231 18.358231 19.788742 26.941299 17.404556 
16384 14.781952 19.550323 27.656555 19.311905 18.835068 20.027161 27.179718 18.358231 
16384 16.927719 19.311905 29.802322 18.358231 17.881393 21.696091 28.848648 17.642975 
16384 14.781952 19.073486 27.894974 18.358231 18.119812 19.788742 26.941299 17.642975 
16384 15.735626 19.550323 28.371811 50.544739 18.596649 20.503998 27.894974 31.709671 
16384 14.781952 30.755997 28.371811 30.517578 29.802322 19.550323 26.941299 30.040741 
16384 15.020370 18.835068 28.133392 18.596649 17.642975 20.265579 26.941299 17.404556 
16384 14.781952 29.325485 27.418137 18.358231 27.894974 19.550323 26.702881 17.642975 
16384 14.305115 19.073486 27.418137 18.835068 18.119812 19.550323 26.226044 18.119812 
16384 14.781952 19.311905 27.418137 18.119812 18.119812 19.788742 26.464462 17.404556 
16384 14.781952 19.550323 28.133392 18.835068 18.596649 20.027161 27.179718 17.881393 
16384 14.543533 19.311905 26.941299 18.119812 17.881393 19.311905 26.464462 17.642975 
16384 54.121017 29.087067 66.995621 53.405762 27.894974 58.889389 66.280365 52.690506 
16384 31.948090 19.311905 45.299530 18.835068 18.835068 37.193298 44.584274 18.119812 
16384 14.543533 26.941299 27.894974 18.358231 25.987625 19.550323 27.179718 17.881393 
16384 17.404556 17.404556 36.478043 21.696091 20.980835 23.365021 35.047531 20.503998 
16384 15.258789 18.835068 28.610229 18.596649 18.596649 19.550323 27.656555 18.119812 
16384 15.258789 19.073486 28.133392 18.358231 17.881393 20.027161 27.656555 17.642975 
16384 15.020370 19.073486 27.418137 18.358231 18.119812 19.311905 26.941299 17.642975 
16384 15.020370 18.358231 28.610229 17.881393 18.119812 19.788742 27.656555 16.927719 
16384 15.020370 19.073486 27.656555 18.358231 18.119812 20.027161 27.179718 17.642975 
16384 26.226044 19.073486 38.862228 18.119812 18.119812 30.755997 38.146973 17.642975 
16384 15.020370 18.596649 27.656555 18.596649 17.881393 19.550323 26.941299 17.881393 
16384 15.020370 19.073486 39.339066 18.358231 17.881393 31.948090 39.100647 17.642975 
16384 14.543533 19.550323 32.663345 18.596649 18.835068 19.788742 31.709671 18.119812 
16384 14.781952 19.311905 27.418137 18.596649 18.596649 19.311905 26.702881 17.642975 
16384 34.332275 17.404556 46.730042 16.927719 37.670135 18.119812 46.491623 16.212463 
16384 14.305115 18.835068 26.941299 18.358231 18.358231 19.073486 26.464462 17.642975 
16384 17.642975 19.073486 28.848648 19.073486 18.119812 20.742416 28.133392 18.358231 
16384 31.948090 29.087067 53.644180 28.133392 18.835068 46.014786 53.167343 27.656555 
16384 16.212463 19.788742 28.610229 19.311905 19.073486 20.742416 28.133392 18.596649 
16384 14.781952 18.835068 28.133392 18.358231 17.642975 21.219254 27.656555 17.881393 
16384 15.020370 19.550323 28.610229 18.596649 18.119812 20.503998 27.418137 17.881393 
16384 15.020370 19.311905 27.894974 18.835068 18.358231 19.788742 27.418137 17.881393 
16384 18.358231 19.550323 31.471252 18.835068 18.119812 23.365021 30.994415 18.119812 
16384 14.781952 18.835068 29.325485 18.119812 17.881393 21.457672 29.087067 17.166138 
16384 14.781952 18.835068 27.656555 18.358231 18.358231 19.788742 27.179718 17.642975 
16384 45.061111 35.285950 57.220459 34.809113 34.093857 49.591064 56.743622 34.093857 
16384 19.788742 28.610229 32.663345 28.848648 22.888184 30.279160 32.186508 28.371811 
16384 14.781952 34.093857 28.371811 18.119812 33.140182 19.788742 27.894974 17.642975 
16384 14.781952 18.835068 27.656555 18.596649 17.881393 19.788742 26.702881 18.119812 
16384 14.781952 19.311905 27.418137 18.596649 18.358231 19.788742 26.941299 18.119812 
16384 14.543533 18.596649 27.894974 18.358231 18.119812 19.550323 26.702881 17.642975 
16384 14.781952 19.073486 27.418137 17.881393 18.119812 19.550323 26.702881 17.642975 
16384 14.543533 19.073486 32.663345 18.358231 17.881393 19.550323 31.948090 17.404556 
16384 14.781952 18.119812 27.656555 17.404556 17.881393 18.835068 26.702881 16.689301 
