#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) 
16 3.814697 4.529953 2.861023 2.622604 1.668930 2.145767 1.907349 1.907349 
16 3.099442 4.291534 2.622604 2.861023 1.668930 1.668930 1.907349 1.907349 
16 3.814697 5.245209 2.861023 2.622604 1.907349 1.907349 1.907349 1.907349 
16 3.576279 4.053116 3.099442 2.861023 1.668930 1.907349 2.145767 1.907349 
16 2.861023 18.835068 2.861023 2.384186 1.668930 1.907349 1.668930 1.668930 
16 45.299530 11.920929 3.099442 2.622604 1.907349 1.668930 2.145767 2.145767 
16 18.358231 4.291534 19.073486 2.622604 1.907349 2.145767 1.907349 1.907349 
16 3.576279 4.291534 3.099442 2.622604 1.907349 1.668930 2.145767 1.668930 
16 3.337860 3.814697 2.861023 2.622604 1.907349 1.907349 2.145767 1.907349 
16 3.099442 3.814697 3.099442 2.622604 1.668930 1.668930 2.145767 1.907349 
16 3.337860 4.291534 2.861023 2.622604 1.907349 1.668930 1.907349 1.907349 
16 3.576279 4.053116 3.576279 2.622604 1.668930 1.907349 1.907349 1.907349 
16 3.576279 4.291534 3.099442 2.384186 1.668930 1.907349 2.145767 1.668930 
16 26.702881 4.053116 3.099442 2.622604 1.668930 1.668930 2.145767 2.861023 
16 18.119812 19.073486 3.099442 2.384186 1.668930 1.668930 2.145767 1.668930 
16 2.861023 3.814697 2.861023 2.622604 1.907349 1.907349 1.907349 1.907349 
16 2.861023 3.814697 3.099442 2.384186 1.907349 1.907349 2.145767 1.907349 
16 3.576279 4.291534 3.337860 2.384186 1.907349 1.668930 2.145767 1.907349 
16 3.337860 4.529953 2.861023 2.622604 1.430511 1.907349 1.907349 1.907349 
16 3.337860 4.291534 3.099442 2.622604 1.668930 1.907349 2.145767 1.907349 
16 3.814697 4.768372 3.099442 2.622604 2.145767 2.145767 1.668930 1.907349 
16 3.099442 4.053116 3.099442 2.622604 1.668930 1.907349 2.145767 1.907349 
16 4.053116 4.291534 3.099442 2.384186 1.668930 1.907349 2.145767 1.907349 
16 3.576279 4.529953 3.099442 2.861023 1.907349 1.668930 1.907349 2.145767 
16 3.099442 4.053116 3.099442 2.384186 1.668930 1.668930 1.668930 1.668930 
16 4.053116 4.053116 2.622604 2.622604 1.907349 1.668930 1.907349 2.145767 
16 3.576279 4.291534 3.337860 2.384186 1.668930 1.668930 1.907349 2.145767 
16 3.337860 3.814697 3.099442 2.384186 1.668930 2.145767 2.145767 1.907349 
16 4.053116 4.291534 2.861023 2.861023 1.668930 1.907349 1.907349 1.907349 
16 3.814697 4.529953 3.099442 2.622604 1.430511 1.907349 1.907349 1.668930 
16 3.576279 4.529953 3.099442 2.861023 1.907349 2.622604 1.668930 1.907349 
16 4.053116 4.529953 2.861023 2.384186 1.668930 2.145767 2.145767 1.907349 
16 3.337860 4.053116 2.861023 2.622604 1.907349 1.430511 1.907349 1.907349 
16 4.529953 4.053116 2.861023 2.622604 1.907349 1.907349 2.384186 2.145767 
16 3.576279 4.529953 3.099442 2.622604 1.907349 1.668930 1.907349 1.668930 
16 3.576279 4.291534 3.337860 3.099442 1.907349 2.145767 2.145767 1.907349 
16 3.099442 3.814697 2.861023 2.384186 1.430511 2.145767 2.145767 1.907349 
16 3.337860 4.529953 3.099442 2.622604 1.668930 1.907349 2.145767 1.907349 
16 3.337860 4.053116 3.337860 2.384186 1.668930 1.907349 1.907349 1.907349 
16 3.814697 4.053116 3.099442 2.622604 1.668930 1.907349 1.907349 1.907349 
16 3.337860 4.291534 3.099442 2.861023 1.907349 1.907349 1.907349 1.907349 
16 3.337860 4.053116 2.861023 2.861023 1.668930 1.907349 1.668930 1.668930 
16 16.212463 16.450882 2.622604 2.861023 1.668930 1.907349 1.907349 2.145767 
16 17.881393 18.596649 2.861023 2.384186 1.668930 17.881393 1.907349 2.145767 
16 3.337860 4.053116 2.861023 1.907349 1.907349 1.430511 2.384186 2.145767 
16 3.576279 4.053116 3.576279 2.384186 1.668930 1.907349 1.907349 1.668930 
16 3.576279 4.529953 3.337860 2.384186 1.668930 1.430511 1.907349 1.668930 
16 3.576279 4.529953 2.861023 2.622604 1.907349 1.668930 1.907349 1.907349 
16 3.576279 4.053116 3.337860 2.622604 1.668930 2.145767 1.907349 1.907349 
16 3.337860 4.053116 2.861023 2.622604 1.668930 1.668930 1.668930 1.907349 
16 4.768372 4.291534 5.006790 2.384186 1.430511 1.907349 1.907349 1.907349 
16 3.099442 4.053116 3.099442 2.622604 1.907349 2.145767 1.907349 1.668930 
16 24.795532 19.550323 3.337860 2.861023 1.668930 1.668930 1.907349 1.907349 
16 14.066696 21.696091 25.033951 2.861023 9.536743 1.668930 1.907349 2.145767 
16 10.490417 17.642975 4.053116 2.861023 8.344650 1.668930 2.145767 1.668930 
16 5.483627 5.006790 3.337860 2.622604 1.668930 1.430511 1.907349 1.907349 
16 3.814697 4.053116 3.099442 2.384186 1.668930 1.668930 1.668930 1.668930 
16 3.337860 4.053116 3.337860 2.622604 1.668930 1.668930 1.907349 1.668930 
16 4.053116 4.053116 3.099442 2.861023 1.668930 1.668930 1.907349 1.907349 
16 3.814697 3.814697 2.622604 2.384186 1.430511 1.668930 1.668930 2.145767 
16 1.668930 4.291534 2.861023 2.622604 1.430511 1.907349 1.907349 1.907349 
16 3.576279 4.291534 2.861023 2.861023 1.907349 1.907349 1.907349 1.907349 
16 2.861023 4.529953 3.337860 2.622604 1.668930 1.668930 2.145767 2.145767 
