#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) 
16 7.629395 113.487244 109.672546 111.818314 7.152557 113.010406 109.195709 112.295151 7.390976 113.010406 109.910965 111.103058 6.437302 112.056732 108.242035 119.924545 
16 7.629395 113.248825 126.123428 112.771988 7.629395 112.771988 115.156174 112.295151 7.390976 113.010406 115.156174 112.771988 6.675720 112.771988 114.917755 111.341476 
16 7.152557 110.864639 6.914139 110.387802 7.390976 111.103058 7.390976 113.487244 7.152557 111.103058 6.675720 110.387802 7.152557 110.864639 5.960464 112.056732 
16 7.152557 21.219254 22.411346 20.980835 6.914139 21.696091 22.172928 19.788742 7.152557 21.219254 8.106232 20.742416 5.960464 21.457672 21.934509 19.073486 
16 8.106232 166.416168 165.700912 165.700912 156.164169 165.700912 166.893005 166.177750 7.152557 166.177750 165.224075 165.224075 155.448914 165.462494 165.462494 164.508820 
16 9.298325 91.791153 82.969666 91.791153 8.583069 91.314316 82.492828 91.075897 8.821487 91.314316 94.413757 91.791153 7.867813 91.314316 81.062317 89.406967 
16 7.629395 194.787979 195.503235 194.787979 7.390976 195.741653 187.873840 186.681747 7.390976 195.026398 195.264816 193.834305 6.914139 194.787979 186.204910 186.681747 
16 7.390976 122.070312 123.023987 121.355057 6.914139 121.593475 122.547150 108.242035 7.152557 121.831894 122.785568 126.838684 5.960464 122.308731 122.070312 106.811523 
16 7.629395 182.628632 159.978867 174.522400 68.426132 182.390213 158.786774 175.952911 7.152557 182.628632 159.740448 174.283981 67.710876 181.913376 157.356262 174.522400 
16 7.152557 5.722046 6.437302 5.483627 34.332275 6.198883 6.675720 4.768372 6.675720 5.722046 6.675720 5.483627 34.332275 5.960464 6.675720 3.814697 
16 7.867813 57.697296 76.055527 73.432922 41.961670 57.697296 63.419342 73.432922 6.914139 57.935715 75.817108 73.432922 57.458878 57.220459 62.227249 72.002411 
16 7.629395 9.536743 9.536743 9.059906 6.675720 9.059906 8.583069 9.059906 6.914139 9.059906 9.536743 8.821487 6.198883 8.583069 6.914139 7.629395 
16 7.629395 28.610229 3.814697 29.087067 7.629395 29.087067 3.576279 28.848648 7.629395 28.848648 3.814697 28.848648 7.152557 27.894974 2.145767 26.941299 
16 13.113022 5.960464 6.914139 68.902969 12.874603 6.198883 5.960464 20.980835 13.113022 6.198883 6.675720 69.141388 12.874603 5.960464 4.529953 19.788742 
16 7.152557 6.914139 7.152557 5.006790 7.629395 6.675720 12.397766 22.888184 6.914139 6.198883 7.152557 5.245209 7.152557 6.675720 4.529953 30.755997 
16 7.390976 18.119812 18.119812 18.596649 7.867813 17.642975 18.119812 17.642975 18.358231 17.404556 17.404556 17.642975 18.119812 16.689301 17.404556 17.404556 
16 7.629395 18.596649 7.629395 17.166138 4.529953 18.119812 7.152557 16.212463 7.390976 18.596649 7.390976 17.166138 4.291534 18.119812 6.914139 15.020370 
16 6.914139 30.517578 3.814697 5.006790 3.814697 30.517578 4.053116 18.119812 6.675720 30.517578 3.814697 5.006790 2.861023 29.802322 3.576279 16.927719 
16 32.424927 48.398972 17.166138 3.814697 5.483627 47.206879 17.166138 3.814697 31.948090 47.683716 16.927719 3.814697 5.483627 46.968460 15.974045 3.814697 
16 7.152557 6.198883 3.814697 5.006790 7.152557 6.198883 9.536743 5.006790 6.437302 5.960464 3.337860 5.006790 6.675720 5.960464 8.583069 3.099442 
16 7.629395 6.198883 6.675720 5.006790 6.914139 6.198883 6.198883 4.768372 6.914139 5.960464 6.437302 4.768372 6.675720 5.722046 5.245209 3.814697 
16 7.867813 25.510788 25.272369 25.272369 18.358231 25.272369 25.272369 25.272369 7.152557 25.033951 24.557114 24.557114 17.881393 25.033951 24.318695 24.080276 
16 7.390976 5.483627 7.152557 4.768372 6.914139 5.722046 5.960464 4.053116 7.152557 5.483627 6.675720 4.529953 6.914139 5.483627 6.198883 16.927719 
16 6.914139 5.245209 8.583069 11.920929 6.675720 12.874603 23.126602 2.622604 6.437302 5.483627 7.629395 12.159348 6.198883 12.874603 22.888184 2.622604 
16 7.629395 5.006790 7.390976 5.483627 7.867813 5.006790 7.390976 5.722046 7.390976 5.006790 7.390976 5.245209 7.867813 4.529953 6.675720 4.291534 
16 6.914139 5.483627 6.437302 5.483627 6.437302 5.960464 6.198883 4.529953 6.675720 5.245209 5.960464 5.483627 6.198883 5.483627 4.529953 2.622604 
16 6.914139 5.722046 5.960464 5.245209 6.675720 5.245209 5.960464 5.006790 6.675720 5.483627 5.483627 5.006790 6.437302 4.529953 4.529953 3.576279 
16 6.914139 4.768372 12.397766 12.159348 6.914139 4.768372 11.920929 12.397766 5.960464 5.006790 12.159348 11.444092 6.675720 4.291534 10.967255 10.967255 
16 6.914139 5.483627 6.914139 6.437302 6.675720 5.722046 6.437302 5.960464 6.914139 5.483627 6.198883 5.722046 6.675720 4.768372 5.006790 4.529953 
16 7.390976 6.675720 6.914139 6.198883 6.198883 6.198883 6.675720 5.483627 6.914139 6.198883 6.437302 5.245209 6.437302 5.722046 5.722046 4.291534 
16 15.258789 12.159348 5.722046 11.920929 7.390976 11.920929 5.960464 11.444092 15.258789 11.682510 4.529953 11.444092 7.390976 11.682510 4.768372 10.013580 
16 7.390976 8.106232 7.152557 3.814697 7.629395 8.106232 7.867813 5.960464 7.152557 7.390976 6.437302 3.337860 7.390976 7.867813 6.914139 4.529953 
16 7.152557 146.150589 7.152557 145.673752 7.390976 146.150589 7.390976 144.243240 7.152557 145.435333 7.152557 145.435333 6.437302 145.912170 5.960464 143.527985 
16 7.152557 5.483627 5.960464 4.768372 5.960464 5.245209 6.198883 4.529953 6.437302 5.483627 6.198883 4.768372 5.960464 4.529953 4.291534 3.099442 
16 7.152557 6.437302 6.675720 5.960464 5.960464 6.437302 6.675720 5.245209 6.437302 5.960464 6.198883 5.483627 5.960464 5.483627 5.245209 3.576279 
16 7.152557 5.722046 3.814697 5.245209 7.390976 5.960464 3.337860 5.006790 6.914139 5.722046 3.576279 5.006790 6.675720 5.245209 2.145767 3.337860 
16 7.390976 8.106232 5.960464 5.960464 7.390976 5.483627 5.960464 5.483627 7.152557 8.106232 5.960464 5.722046 6.914139 5.006790 4.291534 3.814697 
16 6.675720 10.967255 10.013580 10.013580 10.728836 9.775162 10.490417 9.298325 6.198883 10.728836 9.536743 9.775162 10.013580 9.536743 9.775162 7.629395 
