#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) 
16384 263.929367 124.216080 238.895416 136.613846 258.922577 128.030777 415.325165 149.011612 262.737274 123.023987 237.703323 135.421753 257.968903 125.885010 413.656235 146.865845 
16384 222.921371 152.349472 189.542770 156.164169 255.107880 147.819519 202.655792 209.808350 221.490860 151.395798 188.827515 155.687332 254.154205 146.150589 200.986862 208.854675 
16384 29.802322 27.656555 19.550323 26.464462 28.848648 26.941299 37.193298 65.803528 29.087067 27.179718 18.358231 25.033951 28.133392 26.464462 34.809113 64.373016 
16384 29.563904 34.570694 26.464462 32.663345 28.610229 33.855438 177.860260 26.464462 28.371811 33.855438 25.272369 31.948090 27.894974 33.140182 175.952911 23.841858 
16384 31.232834 26.464462 42.676926 27.894974 30.994415 25.272369 40.531158 13.113022 30.279160 25.272369 29.087067 26.702881 29.563904 23.841858 31.709671 11.444092 
16384 45.537949 25.749207 55.789948 28.610229 50.067902 24.795532 52.690506 86.069107 44.107437 24.318695 55.074692 27.656555 38.862228 23.603439 51.259995 85.353851 
16384 40.292740 26.941299 38.623810 25.749207 39.577484 26.702881 60.558319 69.141388 39.339066 26.226044 36.954880 24.795532 38.385391 25.272369 58.650970 66.280365 
16384 29.325485 27.179718 27.894974 26.464462 28.848648 26.464462 82.254410 61.035156 28.133392 25.987625 26.226044 25.272369 27.179718 25.272369 80.585480 59.127808 
16384 32.901764 27.179718 30.994415 26.464462 31.948090 26.464462 33.855438 30.279160 31.709671 26.226044 19.311905 25.272369 30.517578 25.033951 31.948090 28.848648 
16384 75.578690 27.179718 73.671341 25.033951 34.809113 24.557114 36.954880 26.702881 57.935715 25.749207 57.220459 24.080276 34.332275 23.841858 35.762787 26.226044 
16384 674.247742 199.079514 436.067581 195.026398 549.793243 200.033188 455.379486 195.264816 673.055649 198.841095 434.875488 194.072723 548.839569 199.317932 452.756882 194.787979 
