#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) 
16 25.272369 7.390976 5.006790 5.006790 3.814697 3.099442 2.861023 3.337860 2.861023 1.668930 1.907349 2.145767 1.668930 2.145767 1.907349 1.668930 
16 42.200089 50.544739 31.471252 2.861023 3.576279 22.411346 2.622604 3.099442 10.251999 3.337860 1.907349 1.668930 1.907349 21.696091 1.907349 2.145767 
16 6.914139 5.960464 4.529953 2.861023 4.053116 2.622604 2.861023 3.099442 2.861023 2.145767 1.668930 1.668930 1.907349 1.668930 1.907349 2.145767 
16 10.728836 12.397766 5.245209 5.483627 4.053116 2.861023 2.861023 4.291534 3.099442 1.907349 1.668930 1.668930 1.907349 1.907349 1.907349 1.907349 
16 53.644180 33.378601 35.524368 30.279160 4.529953 3.814697 8.583069 29.325485 3.099442 1.907349 1.907349 1.907349 1.907349 1.907349 2.384186 1.668930 
16 144.481659 22.888184 5.722046 3.576279 146.627426 3.099442 3.337860 2.622604 2.861023 1.907349 1.668930 1.668930 1.907349 1.907349 1.668930 1.668930 
16 4.529953 8.344650 5.722046 5.483627 4.053116 2.861023 3.099442 4.529953 2.384186 1.668930 1.907349 1.668930 1.907349 1.668930 1.907349 3.099442 
16 4.053116 5.483627 5.006790 4.291534 3.576279 3.099442 2.861023 2.622604 2.622604 1.907349 1.907349 1.668930 1.907349 1.668930 2.145767 1.907349 
16 2.861023 6.675720 5.245209 3.814697 3.576279 3.099442 2.861023 2.861023 2.861023 1.668930 1.907349 1.907349 1.907349 2.145767 1.907349 1.907349 
16 2.384186 6.198883 5.006790 4.053116 3.814697 2.861023 3.099442 2.861023 2.622604 1.668930 1.907349 1.668930 1.907349 2.145767 1.907349 1.907349 
16 2.861023 7.152557 5.245209 4.291534 3.576279 3.099442 2.622604 3.099442 2.622604 1.668930 1.907349 1.907349 1.907349 1.907349 1.907349 1.668930 
16 2.384186 6.437302 5.722046 4.291534 3.814697 2.861023 3.576279 2.861023 2.384186 1.668930 1.907349 1.668930 1.668930 1.907349 1.907349 1.907349 
16 5.006790 6.675720 5.006790 3.576279 7.152557 2.622604 3.099442 2.622604 2.622604 1.668930 1.907349 1.668930 1.907349 1.668930 2.145767 1.430511 
16 2.622604 6.914139 5.006790 4.529953 3.814697 2.861023 2.622604 3.099442 2.622604 1.907349 1.907349 1.907349 1.907349 1.907349 1.907349 1.907349 
16 2.622604 6.437302 5.722046 3.576279 3.814697 2.622604 2.861023 2.622604 2.384186 1.668930 1.668930 1.907349 2.145767 1.907349 2.145767 1.668930 
16 18.358231 7.390976 6.914139 4.291534 4.053116 2.861023 2.861023 3.099442 2.861023 1.668930 1.907349 1.907349 1.668930 1.907349 1.907349 1.907349 
16 2.622604 6.198883 4.768372 3.576279 4.291534 3.099442 3.099442 2.622604 3.576279 1.668930 1.907349 1.668930 1.907349 2.145767 1.907349 1.668930 
16 18.835068 6.437302 5.006790 4.053116 3.576279 2.861023 2.861023 2.861023 3.099442 1.668930 1.668930 1.907349 1.907349 1.907349 1.668930 1.907349 
16 0.953674 6.198883 4.768372 3.814697 15.735626 3.099442 2.861023 2.861023 2.622604 1.907349 1.907349 1.907349 1.907349 1.668930 1.668930 1.907349 
