#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) 
16 4.053116 126.600266 7.867813 345.945358 5.006790 127.315521 7.629395 345.945358 
16 4.053116 5.006790 7.152557 5.483627 5.006790 5.483627 7.629395 4.529953 
16 4.053116 58.412552 46.014786 57.935715 4.529953 58.889389 45.299530 57.458878 
16 4.053116 5.006790 7.629395 4.768372 4.768372 5.483627 7.390976 5.006790 
16 3.814697 9.298325 7.390976 9.298325 4.768372 10.490417 6.675720 8.344650 
16 5.722046 127.077103 208.377838 124.692917 6.198883 208.377838 207.901001 124.454498 
16 4.291534 6.437302 8.106232 6.675720 5.960464 7.390976 7.867813 6.198883 
16 30.517578 3.099442 34.093857 3.337860 193.834305 0.238419 34.093857 2.861023 
16 4.529953 52.690506 53.405762 52.690506 6.198883 51.736832 53.644180 52.452087 
16 3.814697 58.174133 198.841095 96.321106 4.768372 196.695328 198.602676 95.605850 
16 4.053116 192.880630 8.344650 192.165375 3.576279 192.642212 1.668930 192.403793 
16 3.814697 74.863434 65.326691 88.453293 4.529953 75.340271 65.088272 87.976456 
16 3.814697 8.583069 6.675720 10.967255 5.006790 9.059906 6.437302 10.251999 
16 4.053116 5.006790 7.390976 5.006790 4.768372 5.483627 7.390976 4.529953 
16 3.576279 5.722046 7.629395 6.198883 5.006790 5.960464 7.629395 5.483627 
16 3.576279 5.006790 7.152557 5.006790 4.529953 5.960464 7.152557 4.291534 
16 3.814697 4.291534 7.390976 4.529953 4.529953 5.483627 7.152557 4.291534 
16 4.053116 5.006790 7.390976 4.768372 4.529953 5.483627 7.390976 4.291534 
16 4.053116 4.529953 7.390976 4.768372 4.291534 5.006790 6.914139 4.053116 
16 3.576279 4.529953 6.437302 4.529953 4.291534 5.245209 6.675720 3.814697 
16 3.337860 4.529953 6.675720 4.053116 4.291534 5.006790 6.437302 3.576279 
16 4.053116 5.245209 6.914139 5.006790 4.529953 5.722046 7.152557 5.006790 
16 3.576279 3.814697 7.152557 3.337860 4.291534 4.529953 7.867813 2.861023 
16 3.814697 4.768372 7.390976 5.245209 5.483627 5.960464 22.649765 5.245209 
16 3.576279 3.337860 7.152557 3.099442 19.073486 0.238419 19.311905 2.861023 
16 3.576279 3.099442 7.629395 3.099442 18.835068 0.238419 7.152557 2.622604 
16 4.053116 5.483627 7.629395 5.245209 4.529953 5.960464 7.629395 5.006790 
16 3.337860 4.768372 6.675720 5.006790 4.529953 5.006790 6.675720 4.768372 
16 3.337860 4.768372 7.152557 4.768372 4.768372 5.483627 6.914139 4.529953 
16 3.337860 4.291534 6.914139 4.053116 4.291534 5.006790 6.914139 4.768372 
16 3.337860 4.768372 6.437302 4.291534 4.291534 5.006790 6.675720 3.814697 
16 3.814697 5.245209 7.390976 5.722046 4.768372 5.722046 7.629395 5.245209 
16 4.053116 4.768372 7.629395 4.768372 4.768372 5.722046 7.152557 4.053116 
16 3.099442 5.245209 6.437302 4.529953 4.529953 4.768372 6.437302 4.053116 
16 3.576279 5.006790 6.914139 5.006790 4.529953 5.245209 6.675720 4.291534 
16 3.337860 4.529953 6.914139 2.384186 4.768372 5.006790 6.675720 17.642975 
16 3.337860 4.768372 7.390976 4.768372 4.529953 5.245209 6.914139 4.053116 
16 3.337860 4.768372 7.152557 4.291534 4.291534 5.245209 6.914139 4.053116 
16 3.576279 4.529953 7.152557 4.291534 4.291534 5.245209 7.152557 4.053116 
16 3.576279 3.576279 6.675720 3.814697 4.529953 3.576279 6.675720 3.576279 
16 3.337860 4.768372 7.390976 5.006790 5.006790 5.722046 7.390976 4.768372 
16 4.053116 5.006790 7.629395 5.006790 4.768372 5.722046 7.629395 4.529953 
16 3.576279 5.483627 8.106232 5.006790 4.768372 5.960464 7.629395 4.529953 
16 3.576279 5.722046 7.390976 5.245209 4.768372 5.483627 7.152557 4.768372 
16 4.053116 5.245209 7.152557 4.768372 4.529953 5.483627 7.152557 4.291534 
16 3.337860 4.053116 7.629395 3.337860 4.768372 4.529953 6.914139 3.576279 
16 3.814697 5.006790 7.390976 4.529953 4.291534 5.483627 7.152557 4.291534 
16 3.814697 18.119812 7.390976 18.119812 4.768372 18.358231 6.914139 17.642975 
16 4.053116 4.768372 8.106232 5.483627 5.006790 6.198883 7.629395 5.006790 
16 3.814697 3.099442 6.914139 3.099442 87.261200 0.238419 6.914139 2.861023 
16 8.344650 4.529953 11.682510 4.291534 5.245209 9.298325 11.682510 3.814697 
16 4.053116 3.337860 7.867813 2.145767 203.609467 0.238419 8.106232 1.668930 
16 3.814697 27.179718 30.040741 27.418137 4.768372 27.894974 29.563904 26.702881 
16 4.053116 7.152557 9.775162 7.390976 4.291534 7.629395 10.013580 7.152557 
16 4.291534 160.932541 166.177750 143.527985 10.728836 155.448914 165.939331 143.051147 
16 4.291534 13.351440 15.497208 13.113022 13.113022 13.589859 15.735626 12.636185 
16 4.053116 86.545944 70.095062 86.069107 4.768372 97.036362 68.902969 85.830688 
16 4.053116 19.311905 4.291534 19.311905 5.483627 24.080276 10.967255 19.073486 
16 4.053116 5.006790 7.867813 5.245209 5.006790 5.722046 7.867813 4.529953 
16 3.814697 5.483627 8.106232 5.483627 5.006790 6.198883 8.344650 4.768372 
16 65.565109 56.982040 120.878220 56.982040 4.291534 119.447708 120.878220 56.266785 
16 3.576279 72.479248 7.152557 72.240829 5.006790 72.956085 6.914139 72.002411 
16 3.814697 106.573105 7.390976 106.334686 5.245209 106.811523 7.629395 105.619431 
