#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) 
16 8.344650 8.583069 9.059906 8.583069 8.344650 8.344650 8.583069 8.344650 
16 8.106232 12.636185 8.106232 12.397766 8.106232 12.397766 0.238419 11.920929 
16 7.867813 7.629395 7.629395 7.152557 7.867813 7.629395 7.152557 7.390976 
16 16.212463 8.344650 11.444092 7.629395 15.974045 8.106232 11.205673 7.629395 
16 7.867813 6.198883 7.629395 6.437302 8.344650 6.198883 7.390976 5.483627 
16 8.106232 8.106232 5.960464 5.960464 8.106232 8.106232 5.483627 5.245209 
16 41.246414 6.914139 8.106232 9.059906 41.007996 6.437302 8.344650 8.344650 
16 12.159348 3.337860 11.444092 10.967255 12.397766 2.384186 11.682510 10.967255 
16 16.689301 20.503998 16.689301 20.742416 16.450882 20.265579 16.689301 20.265579 
16 6.914139 7.867813 7.867813 8.106232 7.629395 7.867813 7.629395 7.629395 
16 7.867813 7.390976 8.106232 7.867813 7.867813 7.390976 7.867813 7.390976 
16 7.867813 8.106232 7.629395 8.583069 7.867813 8.106232 7.867813 8.344650 
16 7.629395 8.344650 7.390976 8.821487 7.867813 8.106232 7.629395 8.344650 
16 8.106232 8.106232 7.867813 8.106232 8.344650 8.106232 7.867813 8.106232 
16 7.629395 8.344650 8.344650 8.344650 8.344650 7.867813 8.106232 7.867813 
16 7.867813 8.106232 7.867813 8.344650 7.867813 7.629395 7.629395 7.867813 
16 8.344650 7.629395 7.152557 7.629395 8.344650 7.390976 7.152557 7.629395 
16 8.344650 7.867813 7.152557 8.106232 8.344650 7.867813 7.152557 7.629395 
16 7.629395 25.033951 9.059906 25.033951 7.390976 25.033951 8.106232 24.557114 
16 8.106232 8.583069 8.583069 8.821487 8.344650 8.344650 8.344650 8.344650 
16 8.583069 17.881393 19.311905 19.550323 8.344650 17.404556 18.835068 18.596649 
16 11.205673 12.159348 11.682510 12.159348 11.205673 11.682510 11.444092 11.682510 
16 13.589859 9.298325 14.066696 8.821487 13.351440 9.059906 14.305115 8.344650 
16 8.106232 7.390976 7.867813 7.152557 8.106232 7.152557 7.867813 6.914139 
16 7.390976 33.617020 8.106232 33.378601 7.867813 33.140182 8.106232 33.378601 
16 8.344650 5.960464 7.629395 6.198883 8.344650 5.960464 7.629395 5.245209 
16 8.344650 28.610229 27.656555 28.371811 6.675720 28.133392 27.656555 28.610229 
16 8.344650 8.344650 7.629395 8.106232 7.867813 8.106232 7.390976 7.867813 
16 8.344650 8.344650 8.344650 8.344650 8.344650 7.867813 8.344650 8.106232 
16 8.344650 8.583069 8.583069 9.059906 8.583069 8.583069 8.821487 8.583069 
16 8.583069 8.106232 8.583069 7.867813 8.344650 8.106232 8.821487 7.867813 
16 8.344650 8.583069 8.821487 9.298325 8.106232 8.583069 8.821487 8.821487 
16 7.867813 19.788742 18.835068 19.788742 8.106232 19.550323 19.311905 19.550323 
16 8.344650 343.322754 7.867813 343.799591 8.583069 343.561172 6.914139 343.561172 
16 8.106232 8.344650 7.867813 8.344650 8.106232 8.106232 7.867813 8.821487 
16 8.344650 7.867813 7.629395 7.867813 8.344650 7.867813 7.390976 7.629395 
16 7.867813 17.881393 17.404556 18.119812 17.404556 17.881393 17.166138 18.119812 
