#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) 
16384 23.603439 15.974045 22.888184 15.258789 
16384 17.642975 13.351440 16.689301 12.874603 
16384 18.596649 13.828278 18.119812 13.113022 
16384 14.781952 14.543533 14.305115 14.066696 
16384 14.543533 13.113022 13.828278 12.636185 
16384 22.411346 13.589859 13.828278 12.874603 
16384 14.781952 14.781952 14.066696 13.113022 
16384 16.689301 15.020370 16.212463 14.543533 
16384 21.219254 24.795532 20.742416 24.080276 
16384 34.570694 15.497208 34.570694 14.781952 
16384 26.464462 13.351440 25.510788 12.636185 
16384 18.835068 13.828278 18.119812 13.113022 
16384 14.543533 13.351440 13.828278 12.874603 
16384 24.318695 15.735626 23.603439 15.020370 
16384 15.497208 13.351440 15.020370 12.636185 
16384 14.305115 13.113022 14.066696 12.874603 
16384 14.305115 13.351440 13.828278 12.636185 
16384 14.543533 13.113022 13.828278 12.874603 
16384 15.258789 13.589859 14.305115 12.874603 
16384 15.020370 13.351440 14.305115 12.636185 
16384 14.305115 13.351440 14.066696 12.874603 
16384 15.497208 13.351440 14.305115 12.874603 
16384 15.974045 13.351440 14.305115 12.636185 
16384 30.279160 14.781952 29.563904 13.828278 
16384 14.781952 13.589859 14.305115 13.113022 
16384 29.802322 13.589859 29.325485 12.874603 
16384 14.543533 13.113022 14.066696 12.636185 
16384 14.543533 13.589859 14.066696 12.874603 
16384 14.543533 13.351440 14.305115 12.636185 
16384 15.020370 13.589859 14.066696 12.874603 
16384 14.781952 13.828278 14.066696 13.113022 
16384 14.781952 13.113022 14.066696 12.636185 
16384 21.934509 14.305115 21.219254 13.828278 
16384 19.073486 13.113022 18.358231 12.636185 
16384 15.974045 13.351440 14.066696 12.874603 
16384 16.689301 12.874603 14.066696 12.397766 
16384 14.781952 13.351440 14.066696 12.636185 
16384 22.172928 13.589859 21.457672 13.113022 
16384 15.258789 13.589859 14.781952 12.874603 
16384 15.020370 13.113022 14.066696 12.397766 
16384 14.781952 13.113022 14.305115 12.636185 
16384 15.497208 13.828278 15.020370 13.113022 
16384 14.781952 12.874603 13.828278 12.397766 
16384 37.908554 35.285950 37.431717 34.809113 
16384 18.358231 16.927719 17.881393 16.450882 
16384 15.258789 14.066696 14.781952 13.351440 
16384 30.755997 13.589859 15.020370 12.874603 
16384 17.404556 15.497208 16.450882 15.258789 
16384 17.166138 15.974045 16.450882 15.497208 
16384 14.305115 13.113022 14.066696 12.636185 
16384 17.166138 13.351440 16.450882 12.874603 
16384 15.497208 13.113022 15.020370 12.636185 
16384 26.464462 16.927719 25.510788 16.450882 
16384 14.781952 13.589859 14.543533 12.874603 
16384 20.742416 15.020370 19.550323 13.828278 
16384 18.835068 13.351440 18.119812 12.874603 
16384 37.670135 13.113022 36.954880 12.636185 
16384 14.305115 13.113022 13.589859 12.397766 
16384 20.503998 15.735626 19.788742 15.020370 
16384 39.577484 59.366226 38.862228 49.352646 
16384 15.497208 14.543533 14.543533 12.874603 
16384 14.781952 13.113022 14.305115 12.636185 
16384 15.258789 13.589859 14.543533 13.113022 
16384 15.258789 13.351440 14.305115 12.397766 
16384 14.543533 13.589859 14.066696 12.874603 
16384 15.020370 13.589859 14.543533 13.113022 
16384 14.305115 13.589859 13.589859 12.636185 
16384 17.404556 13.351440 16.450882 12.636185 
16384 18.119812 14.781952 17.404556 14.305115 
16384 14.543533 13.351440 14.066696 12.874603 
16384 25.749207 13.351440 25.272369 12.636185 
16384 34.570694 13.351440 17.881393 12.636185 
16384 33.617020 33.378601 32.663345 30.755997 
16384 39.577484 30.279160 38.623810 27.418137 
16384 99.420547 67.472458 98.466873 66.995621 
16384 52.213669 40.292740 51.736832 39.815903 
16384 40.292740 13.589859 39.339066 12.874603 
16384 70.095062 66.757202 69.141388 66.280365 
16384 90.360641 45.299530 89.406967 45.061111 
16384 140.428543 77.724457 139.951706 77.486038 
16384 36.478043 25.510788 35.762787 25.033951 
16384 20.027161 13.113022 19.550323 12.874603 
16384 102.043152 32.424927 101.327896 31.948090 
16384 134.706497 63.657761 134.229660 63.180923 
16384 30.279160 26.702881 29.802322 25.749207 
16384 16.212463 13.589859 15.497208 12.874603 
16384 39.815903 36.001205 39.339066 35.285950 
16384 94.175339 31.232834 93.936920 30.755997 
16384 15.258789 13.351440 14.543533 12.874603 
16384 14.066696 13.113022 13.589859 12.636185 
16384 24.080276 14.543533 23.126602 13.828278 
16384 14.781952 12.874603 14.305115 12.397766 
16384 15.735626 13.113022 15.258789 12.397766 
16384 15.735626 14.543533 15.020370 13.828278 
16384 14.781952 13.113022 13.828278 12.636185 
16384 96.321106 23.365021 95.605850 22.888184 
16384 36.001205 34.332275 35.285950 33.855438 
16384 18.358231 16.689301 17.642975 16.212463 
16384 15.258789 13.351440 14.305115 12.874603 
16384 17.642975 14.781952 9.775162 5.722046 
16384 14.543533 13.113022 14.066696 12.636185 
16384 18.119812 13.351440 17.166138 12.636185 
16384 14.305115 13.351440 13.828278 12.636185 
16384 28.371811 13.351440 27.656555 12.874603 
16384 14.781952 13.351440 14.066696 12.636185 
16384 20.265579 12.874603 19.788742 12.397766 
16384 32.663345 30.994415 31.948090 30.517578 
16384 14.781952 13.351440 13.828278 12.874603 
16384 14.543533 13.351440 13.828278 12.874603 
16384 14.543533 12.636185 13.828278 12.159348 
16384 17.642975 15.974045 16.927719 15.497208 
16384 28.133392 13.589859 27.418137 12.874603 
16384 14.781952 12.874603 14.066696 12.397766 
16384 147.819519 15.020370 147.104263 14.543533 
16384 59.127808 23.603439 58.412552 23.126602 
16384 65.326691 61.035156 64.611435 60.319901 
16384 171.184540 119.924545 170.946121 119.209290 
16384 60.558319 20.265579 59.843063 19.311905 
16384 50.306320 36.001205 49.352646 35.285950 
16384 50.544739 48.637390 49.829483 47.683716 
16384 45.776367 23.365021 45.061111 22.888184 
16384 45.776367 25.749207 44.822693 25.272369 
16384 47.445297 25.510788 47.445297 25.033951 
16384 89.645386 124.216080 87.976456 123.739243 
16384 35.047531 22.888184 34.570694 22.411346 
16384 36.954880 14.543533 36.478043 13.828278 
16384 25.510788 24.080276 25.033951 23.603439 
16384 77.724457 19.550323 59.604645 19.073486 
16384 72.956085 22.888184 70.571899 22.411346 
16384 62.227249 44.345856 58.412552 43.630600 
16384 152.826309 141.859055 152.349472 141.143799 
16384 43.630600 23.126602 42.915344 22.649765 
16384 42.438507 30.279160 41.961670 29.563904 
16384 96.082687 65.088272 95.367432 64.373016 
16384 54.597855 38.385391 51.736832 37.670135 
16384 108.242035 45.776367 107.288361 45.061111 
16384 75.101852 65.803528 74.386597 65.088272 
16384 25.033951 38.623810 24.080276 37.908554 
16384 66.995621 21.219254 66.041946 20.503998 
16384 23.603439 15.735626 23.126602 15.258789 
16384 20.503998 18.835068 19.550323 18.119812 
16384 25.033951 18.358231 24.318695 17.642975 
16384 36.001205 15.735626 35.285950 15.258789 
16384 36.716461 29.325485 35.762787 28.610229 
16384 39.339066 50.067902 55.789948 48.160553 
16384 15.258789 14.305115 14.543533 13.828278 
16384 46.730042 33.140182 46.253204 32.663345 
16384 16.689301 14.305115 14.781952 13.589859 
16384 14.781952 13.351440 14.305115 12.636185 
16384 15.020370 13.351440 14.305115 12.874603 
16384 14.543533 13.113022 13.828278 12.397766 
16384 22.172928 13.351440 21.696091 12.874603 
16384 25.510788 14.543533 25.272369 14.066696 
16384 15.020370 13.351440 14.305115 12.636185 
16384 14.781952 13.351440 14.305115 12.874603 
16384 14.781952 13.113022 14.066696 12.636185 
16384 15.020370 13.828278 14.543533 13.113022 
16384 14.305115 13.589859 14.066696 13.113022 
16384 14.781952 13.351440 13.828278 12.636185 
16384 14.305115 12.874603 13.828278 12.397766 
16384 14.543533 13.351440 14.066696 12.636185 
16384 14.543533 12.874603 14.066696 12.159348 
16384 14.305115 13.351440 13.828278 12.874603 
16384 14.543533 12.874603 14.066696 12.397766 
16384 14.543533 13.113022 13.828278 12.397766 
16384 14.543533 12.874603 13.589859 12.159348 
16384 14.781952 13.113022 13.828278 12.397766 
16384 20.503998 13.113022 19.788742 12.636185 
16384 14.305115 13.113022 13.828278 12.397766 
16384 14.543533 12.874603 13.828278 12.397766 
16384 14.543533 13.351440 13.828278 12.636185 
16384 14.543533 12.874603 13.828278 12.159348 
16384 14.781952 13.351440 13.828278 12.636185 
16384 14.781952 13.113022 14.305115 12.397766 
16384 14.305115 13.113022 13.828278 12.636185 
16384 14.543533 13.351440 13.589859 12.636185 
16384 14.543533 13.828278 14.305115 12.874603 
16384 14.543533 13.351440 14.066696 12.874603 
16384 14.543533 12.874603 13.828278 12.397766 
16384 14.781952 13.113022 14.066696 12.636185 
16384 14.305115 13.113022 13.828278 12.636185 
16384 14.543533 13.113022 13.828278 12.636185 
16384 14.543533 13.351440 13.828278 12.636185 
16384 14.543533 12.874603 13.828278 12.159348 
16384 15.258789 13.351440 14.543533 12.636185 
16384 14.066696 12.636185 13.828278 12.159348 
16384 14.543533 13.351440 13.828278 12.874603 
16384 14.781952 13.113022 14.066696 12.874603 
16384 23.841858 22.411346 23.126602 21.696091 
16384 15.020370 14.066696 14.781952 13.351440 
16384 21.219254 19.788742 20.503998 19.073486 
16384 16.212463 13.113022 15.735626 12.636185 
16384 14.066696 13.113022 13.828278 12.397766 
16384 14.066696 12.874603 13.589859 12.159348 
16384 18.358231 13.113022 17.881393 12.636185 
16384 14.543533 13.113022 14.066696 12.397766 
16384 14.781952 12.636185 14.066696 12.159348 
16384 15.497208 12.874603 14.781952 12.636185 
16384 14.543533 14.066696 14.781952 13.589859 
16384 14.543533 12.636185 13.828278 12.159348 
16384 14.305115 13.113022 13.828278 12.636185 
16384 20.980835 19.788742 20.503998 19.311905 
16384 18.596649 16.689301 17.881393 16.212463 
16384 14.305115 12.874603 13.589859 12.159348 
16384 14.781952 12.874603 14.066696 12.636185 
16384 117.063522 13.113022 116.825104 12.397766 
16384 17.642975 14.066696 16.689301 13.351440 
16384 14.305115 12.874603 13.589859 12.636185 
16384 15.020370 13.113022 14.066696 12.397766 
16384 14.305115 12.874603 13.589859 12.159348 
16384 14.543533 12.874603 13.828278 12.159348 
16384 14.305115 13.113022 13.828278 12.636185 
16384 14.543533 13.113022 13.828278 12.397766 
16384 16.927719 15.258789 16.212463 14.781952 
16384 14.066696 12.874603 13.589859 12.397766 
