#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) 
16777216 3437.757492 5847.215652 7766.723633 5481.481552 5848.169327 5917.549133 7785.558701 5482.912064 
16777216 4061.222076 10479.450226 16692.161560 13662.815094 10489.940643 14796.495438 16693.353653 13751.506805 
16777216 3594.636917 5748.987198 7570.028305 5427.360535 5749.940872 5862.474442 7571.697235 5430.459976 
16777216 3463.029861 5665.302277 7407.665253 5347.251892 5667.448044 5714.654922 7408.618927 5349.397659 
16777216 3480.434418 5607.843399 7413.864136 5418.539047 5625.963211 5720.376968 7415.294647 5419.969559 
16777216 3443.956375 5605.936050 7389.783859 5458.593369 5612.134933 5690.097809 7391.452789 5459.070206 
16777216 3602.981567 5641.937256 7511.377335 5532.264709 5652.189255 5809.307098 7512.807846 5534.648895 
16777216 3586.053848 5871.772766 7852.554321 5593.299866 5874.156952 6112.337112 7853.746414 5595.684052 
16777216 4025.697708 6187.915802 8232.593536 6039.857864 6211.757660 6443.977356 8234.024048 6042.242050 
16777216 3749.132156 5830.287933 7697.820663 5669.116974 5842.208862 6003.618240 7699.012756 5671.501160 
16777216 3410.816193 5608.797073 7588.624954 5468.130112 5610.942841 5888.462067 7589.817047 5470.514297 
16777216 3434.419632 5604.505539 7367.849350 5470.275879 5605.697632 5662.918091 7369.041443 5472.898483 
16777216 3438.949585 5638.599396 7567.644119 5489.349365 5639.553070 5675.077438 7568.836212 5491.256714 
16777216 3516.197205 5721.807480 7490.396500 5550.384521 5723.714828 5759.000778 7507.801056 5553.483963 
16777216 3474.712372 5887.269974 11599.779129 5599.737167 5888.462067 6011.724472 11913.537979 5616.903305 
16777216 5901.575089 6706.476212 9861.469269 7424.116135 6639.003754 7966.518402 9862.422943 7434.129715 
16777216 3441.333771 5759.239197 7654.428482 5552.530289 5762.100220 5816.698074 7655.382156 5554.676056 
16777216 3757.238388 5808.353424 7889.986038 5721.569061 5810.260773 6003.379822 7891.416550 5723.237991 
16777216 3533.124924 5650.043488 7677.078247 5615.949631 5651.473999 5852.222443 7680.416107 5618.572235 
16777216 3497.123718 5692.243576 7421.970367 5558.013916 5694.627762 5740.880966 7424.592972 5559.921265 
16777216 3550.767899 5726.814270 7873.058319 5615.472794 5728.483200 5983.829498 7873.535156 5618.095398 
16777216 3658.533096 5943.298340 7984.161377 5734.443665 5962.133408 6095.409393 8001.089096 5747.556686 
16777216 3713.607788 5853.176117 7830.858231 5744.934082 5865.573883 6072.282791 7832.527161 5747.556686 
16777216 3505.229950 5704.879761 7494.688034 5558.490753 5707.263947 5800.962448 7496.118546 5560.159683 
16777216 3472.328186 5594.491959 7431.983948 5484.819412 5597.352982 5733.489990 7433.176041 5487.442017 
16777216 4358.530045 10121.583939 14548.540115 12803.554535 10124.444962 12850.522995 14550.209045 12806.177139 
16777216 3412.961960 5702.733994 7494.688034 5592.107773 5704.402924 5775.213242 7496.118546 5594.253540 
16777216 3416.061401 5997.419357 8052.825928 5607.843399 5998.134613 6101.608276 8055.210114 5609.989166 
16777216 3691.911697 6177.902222 8121.967316 5814.075470 6178.617477 6267.786026 8127.689362 5827.903748 
16777216 3628.492355 5960.464478 7848.739624 5806.207657 5939.960480 6088.495255 7849.931717 5808.591843 
16777216 3434.181213 5632.877350 7373.809814 5494.594574 5634.546280 5677.461624 7374.763489 5498.886108 
16777216 3512.859344 5675.315857 7434.368134 5524.873734 5676.269531 5740.642548 7435.798645 5527.734756 
16777216 3422.975540 5585.670471 7651.329041 5869.865417 5588.293076 5958.318710 7652.759552 5882.501602 
16777216 3706.693649 7879.495621 10202.884674 8385.658264 7744.789124 8516.311646 10205.030441 8389.234543 
16777216 4631.280899 6138.086319 9629.964828 7824.659348 6140.947342 7937.192917 9631.156921 7836.103439 
16777216 3441.095352 5612.611771 7457.256317 5500.316620 5615.472794 5710.363388 7458.448410 5502.700806 
16777216 3427.267075 5617.618561 7380.008698 5554.914474 5619.049072 5686.759949 7381.200790 5555.629730 
16777216 3463.268280 5599.498749 7425.069809 5505.561829 5601.644516 5731.821060 7426.261902 5507.469177 
16777216 3523.826599 11798.620224 16118.288040 12527.227402 11850.357056 13615.369797 16119.480133 12529.611588 
16777216 3708.124161 5640.029907 7631.540298 5621.433258 5642.890930 5931.377411 7633.209229 5623.817444 
16777216 6082.773209 7356.882095 17426.490784 8462.667465 6890.773773 13902.425766 17427.921295 8480.072021 
16777216 3760.099411 5789.756775 7279.157639 5517.244339 5793.333054 5977.153778 7280.111313 5517.959595 
16777216 3412.723541 5612.134933 7375.240326 5475.282669 5614.280701 5678.176880 7375.955582 5477.666855 
16777216 3412.246704 5607.843399 7343.769073 5472.660065 5610.227585 5650.281906 7345.438004 5474.805832 
16777216 7785.558701 5905.389786 15800.476074 12892.961502 5906.820297 13867.616653 15801.668167 12900.352478 
16777216 4416.227341 6809.234619 9109.973907 6508.111954 6778.001785 6833.314896 9111.166000 6510.496140 
16777216 6840.467453 8791.446686 11059.522629 8637.905121 8667.469025 9107.589722 11060.953140 8640.050888 
16777216 9154.796600 6207.227707 12707.233429 7003.784180 6354.331970 10854.244232 12708.425522 7005.691528 
16777216 16170.263290 14700.412750 23493.051529 15151.977539 14531.135559 18391.847610 23493.289948 15161.275864 
16777216 7854.938507 5262.136459 12439.966202 7761.240005 5337.238312 10550.498962 12441.873550 7764.101028 
16777216 7262.468338 5779.027939 12076.377869 6407.022476 5767.583847 10455.131531 12077.808380 6409.406662 
16777216 4017.829895 6205.081940 7992.744446 6033.420563 6189.823151 6309.509277 7993.698120 6034.851074 
16777216 3426.551819 5621.433258 7355.451584 5447.626114 5625.486374 5659.103394 7356.882095 5449.295044 
16777216 3427.028656 5600.690842 7384.300232 5473.852158 5601.882935 5663.156509 7385.492325 5476.236343 
16777216 3477.573395 5626.916885 7412.195206 5499.601364 5627.870560 5707.740784 7413.625717 5501.747131 
16777216 3441.810608 5655.527115 7382.154465 5517.721176 5645.990372 5689.620972 7383.584976 5519.866943 
16777216 3441.333771 5645.036697 7375.001907 5548.954010 5648.136139 5681.037903 7376.909256 5551.099777 
16777216 3551.721573 5557.775497 7558.822632 5661.010742 5560.636520 5820.274353 7560.491562 5666.255951 
16777216 3832.817078 6044.387817 8062.124252 5927.324295 6046.295166 6273.746490 8063.077927 5929.708481 
16777216 3442.287445 5532.503128 7578.372955 5725.860596 5533.933640 5883.932114 7579.326630 5729.198456 
16777216 3442.049026 5649.328232 9238.004684 6062.984467 5651.950836 6581.306458 9239.196777 6065.130234 
16777216 3438.949585 5644.559860 7376.432419 5479.335785 5647.182465 5679.368973 7377.624512 5481.243134 
16777216 3459.692001 5626.440048 7400.512695 5446.672440 5628.824234 5707.263947 7401.704788 5447.864532 
16777216 3461.599350 5598.783493 7375.001907 5475.997925 5599.021912 5682.468414 7375.955582 5478.382111 
16777216 3424.644470 5616.664886 7356.882095 5479.097366 5610.704422 5664.825439 7358.074188 5481.243134 
16777216 3421.545029 5610.466003 7351.160049 5474.328995 5613.565445 5656.957626 7352.352142 5476.474762 
16777216 3424.644470 5626.440048 7365.226746 5466.938019 5629.539490 5663.871765 7366.657257 5469.560623 
16777216 3482.818604 5678.176880 7427.692413 5527.019501 5680.561066 5724.430084 7428.884506 5529.403687 
16777216 3439.903259 5619.525909 7376.432419 5425.453186 5621.671677 5683.660507 7377.624512 5427.837372 
16777216 3414.392471 5629.777908 7373.332977 5462.884903 5631.685257 5679.607391 7374.763489 5465.269089 
16777216 3414.630890 5612.373352 7338.762283 5472.183228 5613.327026 5646.467209 7340.431213 5474.567413 
16777216 3411.769867 5610.466003 7363.796234 5464.315414 5612.134933 5655.765533 7364.749908 5466.222763 
16777216 3441.095352 5642.414093 7369.041443 5495.071411 5644.083023 5675.792694 7370.233536 5497.694016 
16777216 3755.569458 5991.458893 7857.799530 5878.686905 5775.451660 6186.485291 7859.468460 5881.071091 
16777216 3457.069397 5680.561066 7399.797440 5522.012711 5656.003952 5721.569061 7401.466370 5524.158478 
16777216 3440.856934 5644.798279 7387.876511 5470.275879 5647.420883 5694.389343 7388.830185 5472.660065 
16777216 9118.556976 5096.673965 12685.775757 6549.596786 5099.296570 10965.824127 12687.683105 7332.801819 
16777216 3414.392471 5634.307861 7364.749908 5435.228348 5636.215210 5672.216415 7366.180420 5438.804626 
16777216 3472.328186 5628.824234 7429.599762 5472.183228 5630.254745 5737.304688 7430.553436 5474.805832 
16777216 3413.677216 5616.426468 7348.775864 5477.428436 5619.287491 5648.612976 7349.967957 5479.574203 
16777216 3442.764282 5600.452423 7372.856140 5471.467972 5602.121353 5668.163300 7374.286652 5473.375320 
16777216 3504.991531 5597.829819 7426.261902 5487.680435 5598.783493 5721.569061 7427.692413 5489.826202 
16777216 3438.949585 5657.434464 7368.326187 5496.501923 5659.103394 5674.123764 7369.518280 5498.647690 
16777216 3442.049026 5644.559860 7395.744324 5486.488342 5646.228790 5681.514740 7397.174835 5489.110947 
16777216 4175.424576 6345.272064 9222.269058 6806.135178 6347.656250 6947.278976 9222.745895 6807.804108 
16777216 3443.241119 5644.321442 7375.478745 5485.057831 5645.513535 5681.037903 7375.717163 5487.918854 
16777216 3468.990326 5662.202835 7449.626923 5498.647690 5664.348602 5703.449249 7451.057434 5501.508713 
16777216 3441.333771 5622.863770 7369.279861 5469.083786 5625.247955 5676.031113 7370.710373 5471.467972 
16777216 3442.764282 5600.929260 7560.253143 5474.805832 5603.313446 5700.111389 7561.445236 5477.190018 
16777216 3463.745117 5614.519119 7439.136505 5488.634109 5617.141724 5691.051483 7439.851761 5490.779877 
16777216 3588.676453 5838.632584 7855.176926 5656.003952 5842.208862 6038.188934 7856.130600 5660.295486 
16777216 3613.471985 5917.549133 7900.714874 5752.325058 5932.569504 6140.232086 7910.490036 5758.523941 
16777216 4748.106003 6824.493408 8718.729019 6749.391556 6819.009781 7020.950317 8719.921112 6763.935089 
16777216 3439.188004 5598.783493 7380.247116 5451.440811 5600.929260 5681.037903 7381.200790 5453.824997 
16777216 3582.954407 5592.346191 10031.461716 5469.322205 5594.491959 8245.468140 10032.892227 5471.706390 
16777216 3449.916840 5650.281906 7378.578186 5483.627319 5653.858185 5684.137344 7379.531860 5485.773087 
16777216 3472.566605 5581.140518 7411.956787 5464.553833 5583.763123 5717.992783 7412.672043 5465.507507 
16777216 3597.736359 5763.292313 7524.490356 5616.188049 5764.961243 5831.718445 7525.920868 5618.333817 
16777216 3469.944000 5596.160889 7381.916046 5476.713181 5598.306656 5689.382553 7383.108139 5478.858948 
16777216 3779.649734 5576.610565 7782.936096 5539.178848 5578.517914 5939.006805 7783.889771 5541.563034 
16777216 4083.156586 5806.207657 7960.319519 5784.034729 5807.876587 6223.917007 7961.511612 5786.180496 
16777216 3557.920456 5650.520325 7632.970810 5624.055862 5652.666092 5866.289139 7632.732391 5625.963211 
16777216 3539.323807 5570.411682 7457.017899 5467.176437 5572.557449 5763.530731 7457.971573 5469.560623 
16777216 3437.995911 5618.095398 7383.108139 5456.924438 5620.241165 5689.859390 7384.538651 5459.070206 
16777216 3411.769867 5622.386932 7353.544235 5445.480347 5624.532700 5656.242371 7354.974747 5447.864532 
16777216 3458.023071 5633.831024 7408.380508 5469.799042 5634.784698 5716.800690 7409.811020 5471.944809 
16777216 3569.841385 5581.140518 7460.594177 5473.136902 5582.809448 5769.014359 7461.786270 5475.282669 
16777216 3412.723541 5620.479584 7344.484329 5475.997925 5622.386932 5650.281906 7345.914841 5478.143692 
16777216 3412.961960 5609.035492 7434.368134 5472.183228 5611.658096 5647.897720 7436.275482 5474.567413 
16777216 3681.421280 5950.450897 7708.787918 5749.940872 5952.596664 5999.088287 7710.456848 5752.086639 
16777216 4023.075104 6938.219070 10342.359543 7331.132889 6940.603256 7584.095001 10356.426239 7338.285446 
16777216 4280.567169 5994.081497 10455.846786 6876.707077 6025.791168 7023.334503 10457.992554 6880.044937 
16777216 7098.436356 8933.782578 13429.164886 9189.128876 9086.132050 9768.962860 13430.595398 9191.274643 
16777216 6258.010864 8372.306824 10288.000107 8515.596390 8347.988129 8571.147919 10288.715363 8517.503738 
16777216 5206.823349 7550.954819 9527.683258 7322.311401 7552.862167 7697.105408 9529.352188 7324.934006 
16777216 5645.990372 7749.319077 9692.668915 7724.761963 7812.261581 7849.931717 9695.529938 7726.669312 
16777216 3456.592560 5606.412888 7845.640182 5866.050720 5609.035492 6024.837494 7846.832275 5890.607834 
16777216 3493.309021 5806.207657 8160.829544 5825.519562 5808.115005 6035.327911 8162.975311 5827.665329 
16777216 6548.881531 8477.687836 10917.186737 8725.643158 8638.858795 9111.881256 10935.068130 8731.126785 
16777216 4905.462265 6494.760513 8768.558502 6455.898285 6650.447845 6991.624832 8769.750595 6458.044052 
16777216 3472.566605 5681.276321 7532.119751 5512.714386 5669.832230 5727.767944 7533.311844 5515.098572 
16777216 12192.010880 14420.986176 16215.801239 14282.464981 14390.468597 14465.808868 16217.470169 14284.610748 
16777216 3454.923630 5635.738373 7414.579391 5512.952805 5636.692047 5710.363388 7416.009903 5515.575409 
16777216 3720.521927 10257.959366 16113.996506 11346.578598 10259.389877 14416.933060 16115.188599 12039.184570 
16777216 3413.677216 5627.632141 7377.147675 5302.667618 5630.970001 5683.183670 7400.512695 5303.621292 
16777216 3498.077393 5602.836609 11159.658432 9382.724762 5607.128143 9466.648102 11161.565781 9388.208389 
16777216 3578.901291 6057.500839 8222.818375 6413.698196 6060.361862 6529.808044 8224.010468 6447.315216 
16777216 3609.657288 5792.856216 7564.306259 5620.956421 5795.955658 5864.858627 7565.498352 5621.910095 
16777216 3555.536270 5586.624146 7538.557053 5573.034286 5587.816238 5839.109421 7539.749146 5575.180054 
16777216 3563.642502 5598.068237 10340.213776 5919.456482 5599.737167 6464.242935 10342.597961 5922.079086 
16777216 4069.328308 5585.908890 8706.092834 6642.580032 5596.160889 6926.059723 8708.715439 6646.394730 
16777216 3448.009491 5643.129349 7397.890091 5506.992340 5644.798279 5692.243576 7399.559021 5509.376526 
16777216 3447.771072 5646.705627 7378.816605 5486.726761 5647.897720 5686.998367 7380.008698 5488.634109 
16777216 3536.224365 5719.423294 7589.817047 5868.673325 5720.853806 5898.237228 7590.770721 5871.772766 
16777216 3488.779068 5597.352982 7423.639297 5475.997925 5599.975586 5729.913712 7424.592972 5477.666855 
16777216 3480.195999 5603.313446 7411.956787 5467.653275 5605.220795 5718.469620 7413.148880 5469.799042 
