#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) 
16777216 5182.504654 6061.792374 6062.030792 5733.489990 5183.935165 6063.938141 6063.222885 5747.318268 
16777216 5211.114883 6039.142609 6040.573120 5615.472794 5212.306976 6040.811539 6042.242050 5648.374557 
16777216 5142.927170 6039.381027 6042.003632 5702.733994 5143.880844 6041.765213 6042.718887 5707.979202 
16777216 5206.823349 5990.982056 6052.017212 5676.984787 5215.167999 5994.796753 6052.732468 5698.919296 
16777216 5201.578140 6043.672562 6043.434143 5814.313889 5203.008652 6046.056747 6043.910980 5837.678909 
16777216 5190.610886 6051.063538 6113.052368 5604.982376 5191.802979 6057.977676 6114.482880 5618.095398 
16777216 5221.366882 6138.801575 6206.750870 5548.715591 5223.035812 6142.377853 6226.301193 5568.504333 
16777216 5882.263184 7193.803787 8104.324341 5593.776703 5887.508392 7196.426392 8178.234100 5633.354187 
16777216 7841.110229 10053.157806 10448.217392 8997.440338 7842.779160 10055.780411 10460.138321 9000.539780 
16777216 5261.659622 6155.252457 6185.531616 5475.282669 5263.090134 6157.875061 6188.392639 5494.356155 
16777216 5228.757858 6014.585495 6048.917770 5606.889725 5232.095718 6018.877029 6049.633026 5613.565445 
16777216 5952.358246 10508.537292 10593.652725 8129.596710 6076.574326 10716.438293 10693.073273 8264.064789 
16777216 7078.170776 7209.062576 8264.541626 6650.209427 7079.124451 7217.884064 8265.018463 6656.408310 
16777216 6117.582321 6687.879562 6956.815720 6100.654602 6118.297577 6703.615189 6957.530975 6103.515625 
16777216 5180.597305 5989.313126 6032.466888 5689.144135 5182.504654 5991.935730 6033.658981 5693.674088 
16777216 5263.328552 6153.345108 6152.153015 5694.150925 5264.997482 6155.729294 6152.391434 5694.866180 
16777216 5292.892456 6035.804749 6099.462509 5767.345428 5294.322968 6038.188934 6100.177765 5773.544312 
16777216 5329.847336 6280.660629 6281.375885 5641.937256 5331.516266 6282.567978 6283.521652 5654.811859 
16777216 6276.130676 6826.162338 7111.787796 6294.012070 6277.799606 6842.851639 7119.178772 6312.131882 
16777216 5172.967911 6010.532379 6032.228470 5620.002747 5174.160004 6013.631821 6033.182144 5623.817444 
16777216 5166.530609 6045.818329 6046.533585 5771.160126 5167.722702 6048.202515 6047.010422 5776.882172 
16777216 5389.451981 6173.372269 6209.135056 5657.196045 5390.882492 6184.339523 6209.611893 5668.401718 
16777216 5206.823349 6143.093109 6144.046783 5637.168884 5208.253860 6145.238876 6146.192551 5655.288696 
16777216 5266.189575 6099.939346 6116.390228 5722.999573 5267.381668 6104.707718 6116.867065 5780.220032 
16777216 5172.967911 6150.960922 6150.484085 5716.085434 5174.160004 6153.106689 6159.543991 5745.410919 
16777216 5196.332932 6068.706512 6071.090698 5750.179291 5197.286606 6071.090698 6071.805954 5778.789520 
16777216 5382.061005 6146.430969 6314.516068 5493.402481 5383.491516 6150.722504 6352.663040 5508.661270 
16777216 5205.154419 6099.462509 6096.124649 5890.369415 5206.584930 6101.846695 6096.839905 5902.290344 
16777216 5334.377289 6228.208542 6244.421005 5790.233612 5335.807800 6229.877472 6248.712540 5817.651749 
16777216 8590.459824 10686.635971 11012.792587 10013.580322 8591.413498 10696.411133 11013.507843 10017.633438 
16777216 5249.738693 5976.200104 6082.534790 5633.354187 5251.169205 5985.021591 6082.773209 5646.467209 
16777216 5178.689957 6006.717682 6005.764008 5686.521530 5180.358887 6008.625031 6006.479263 5690.813065 
16777216 5283.832550 7760.524750 7759.332657 6522.655487 5288.839340 7762.432098 7761.240005 6523.847580 
16777216 5554.437637 6135.225296 6538.629532 5490.541458 5556.106567 6143.808365 6540.775299 5491.256714 
16777216 5667.686462 5947.828293 6459.236145 5405.426025 5669.116974 5951.642990 6463.050842 5432.367325 
16777216 5343.437195 6041.049957 6102.085114 5508.899689 5344.629288 6043.434143 6102.323532 5516.767502 
16777216 5580.663681 6665.706635 6564.140320 5757.808685 5589.485168 6667.137146 6569.147110 5767.107010 
16777216 5314.588547 6165.266037 6171.941757 5754.709244 5315.780640 6166.934967 6172.418594 5762.577057 
16777216 6845.712662 7968.425751 8095.026016 7159.948349 6847.143173 7992.744446 8095.741272 7182.359695 
16777216 6253.480911 13405.799866 13471.364975 11727.333069 6254.673004 13408.660889 13511.180878 11809.110641 
16777216 5809.545517 7818.460464 8126.974106 6410.121918 5810.260773 7847.309113 8127.927780 6411.075592 
16777216 7241.725922 7448.196411 7807.254791 6635.665894 7243.156433 7453.203201 7808.208466 6638.526917 
16777216 7335.662842 8003.234863 8257.389069 7239.818573 7337.331772 8025.646210 8258.342743 7240.772247 
