#MessageSize Rank0Time(us) Rank1Time(us) Rank2Time(us) Rank3Time(us) Rank4Time(us) Rank5Time(us) Rank6Time(us) Rank7Time(us) Rank8Time(us) Rank9Time(us) Rank10Time(us) Rank11Time(us) Rank12Time(us) Rank13Time(us) Rank14Time(us) Rank15Time(us) 
16777216 3885.269165 5847.454071 7826.328278 7806.777954 10077.714920 10366.678238 12053.251266 7013.797760 7807.493210 8383.512497 10079.145432 7845.163345 10367.393494 10348.320007 12054.920197 7014.513016 
16777216 3923.892975 5906.343460 8030.176163 8304.595947 10325.431824 10940.551758 13441.562653 7721.900940 8302.927017 8566.617966 10328.769684 8112.192154 11023.283005 10569.334030 13444.662094 7722.616196 
16777216 4420.280457 5707.025528 8461.713791 8628.129959 10993.719101 11493.444443 13495.445251 7726.192474 8630.752563 9062.051773 10898.590088 9096.145630 11495.351791 11669.635773 13497.829437 7726.907730 
16777216 3948.450089 5643.367767 8224.248886 8750.915527 10635.852814 10648.965836 16207.218170 8627.414703 8825.778961 8679.866791 10637.760162 8403.539658 10649.204254 13509.035110 16208.171844 8629.083633 
16777216 4527.330399 5711.793900 8767.366409 8374.691010 10645.389557 11600.494385 13805.866241 8877.515793 8439.779282 8674.860001 10701.179504 8740.425110 11659.145355 11254.072189 13881.206512 8913.755417 
16777216 4018.068314 6918.668747 13560.771942 16554.117203 16107.082367 11696.815491 17115.592957 9129.762650 16266.107559 14301.300049 16117.572784 9637.594223 11340.618134 15915.632248 17116.785049 9131.669998 
16777216 4086.732864 5802.869797 8802.413940 8511.781693 10663.509369 10462.999344 13011.217117 7785.081863 8511.304855 8828.401566 10665.178299 8332.014084 10607.719421 11161.327362 13012.647629 7967.233658 
16777216 4175.662994 5979.776382 8456.945419 8845.329285 11114.597321 11522.531509 13513.565063 7518.291473 8841.037750 9089.708328 11115.312576 8469.104767 11540.889740 11476.993561 13514.995575 7519.006729 
16777216 5532.741547 6050.348282 9756.088257 9351.015091 10945.558548 12083.053589 13914.108276 8120.775223 9349.822998 8989.334106 11051.177979 9353.399277 11979.818344 12113.094330 13915.777206 8121.728897 
16777216 3893.136978 5928.277969 7862.806320 7923.841476 10152.101517 10385.990143 12073.755264 7101.535797 7925.271988 8444.070816 10153.532028 7875.919342 10387.420654 10368.347168 12074.708939 7102.251053 
