#size	rtt
1	16.753380
1	18.233308
1	18.645869
1	16.470490
1	16.920146
1	15.771169
1	16.780153
1	16.890470
1	17.312062
1	17.735268
1	16.830473
1	16.762412
1	16.879180
1	17.005626
1	16.364366
1	16.213083
1	16.768863
1	15.976966
1	16.373721
1	16.501457
1	20.559324
1	17.214003
1	16.327917
1	15.116685
1	16.549519
1	15.918259
1	17.783975
1	16.514682
1	15.877616
1	17.580759
1	16.106637
1	15.371189
1	16.710479
1	15.801813
1	17.268193
1	15.971805
1	16.016641
1	17.690754
1	17.409154
1	15.941484
1	17.557857
1	15.570857
1	17.591726
1	18.263306
1	16.437589
1	15.872455
1	17.298837
1	16.689512
1	16.107605
1	15.847940
1	16.099218
1	17.135297
1	16.040834
1	15.362480
1	16.780475
1	16.753380
1	16.614677
1	16.816280
1	17.277870
1	15.793104
1	16.207600
1	16.849504
1	15.884067
1	15.537955
1	15.789878
1	15.340868
1	18.254920
1	16.598871
1	17.799781
1	16.505005
1	16.282757
1	17.001110
1	15.600855
1	16.675642
1	16.103411
1	15.930839
1	16.402429
1	15.937936
1	17.214648
1	16.596291
1	15.709560
1	16.031157
1	15.642143
1	17.430121
1	15.948258
1	15.492151
1	16.105669
1	16.050188
1	16.790152
1	17.562373
1	17.790426
1	15.497634
1	16.495650
1	15.874713
1	15.686980
1	17.248840
1	15.738913
1	16.222760
1	16.351141
1	15.710527
1	16.147603
1	16.742413
1	16.170827
1	15.696657
1	16.295983
1	15.842456
1	15.978579
1	16.456943
1	16.499521
1	16.553390
1	17.029173
1	15.659885
1	16.425009
1	17.798490
1	15.821167
1	15.781814
1	17.375930
1	15.717946
1	15.969224
1	17.824296
1	16.977562
1	15.199907
1	16.357270
1	17.070784
1	15.614725
1	15.414090
1	17.059494
1	15.632466
1	15.768911
1	17.375608
1	16.822409
1	15.919227
1	17.259162
1	15.558277
1	22.823408
1	19.458087
1	16.757896
1	17.470442
1	16.648546
1	17.480119
1	15.981159
1	18.945854
1	16.813377
1	15.829231
1	17.254001
1	16.567905
1	17.580114
1	15.889228
1	15.918904
1	15.728268
1	16.830150
1	16.281790
1	16.475974
1	20.181923
1	16.973369
1	16.697576
1	16.679512
1	15.696334
1	17.150780
1	15.959870
1	15.505698
1	15.287967
1	16.461136
1	16.023093
1	17.150135
1	18.943919
1	17.877841
1	16.019544
1	17.461087
1	15.962128
1	17.122394
1	15.995675
1	16.433073
1	16.393075
1	16.977885
1	16.152764
1	15.987611
1	25.413604
1	17.507537
1	15.329901
1	17.992997
1	16.288241
1	16.025028
1	17.531729
1	16.091799
1	16.529197
1	16.445008
1	16.247920
1	17.174327
1	16.202116
1	16.903695
1	16.550486
1	16.858859
1	16.614999
1	15.922130
1	18.157505
1	16.457265
1	16.308563
1	15.817619
1	18.228792
1	15.961805
1	17.671077
1	16.297918
1	15.676013
1	15.716979
1	16.453394
1	17.428831
1	15.877293
1	17.592694
1	16.436944
1	16.240824
1	16.815957
1	16.509843
1	16.323401
1	17.431089
1	16.198245
1	16.234373
1	17.042721
1	15.608919
1	16.203729
1	16.253727
1	16.075671
1	15.629563
1	15.773427
1	16.348238
1	15.381188
1	15.705366
1	16.207922
1	16.791442
1	15.426025
1	16.967563
1	15.405058
1	16.455007
1	15.842456
1	16.772089
1	16.034382
1	18.666190
1	16.221793
1	16.064058
1	18.274596
1	15.687625
1	15.800200
1	16.248888
1	15.346674
1	16.498876
1	17.380769
1	15.891809
1	16.119217
1	16.794991
1	15.678271
1	19.221324
1	18.436846
1	16.927887
1	15.999223
1	16.088251
1	15.844069
1	15.336352
1	16.790152
1	15.253775
1	15.950516
1	16.449846
1	15.807619
1	18.400074
1	18.205567
1	15.642466
1	17.272709
1	16.829828
1	16.543067
1	15.973740
1	16.572098
1	16.233405
1	17.357221
1	17.708495
1	16.630160
1	16.290499
1	16.615322
1	16.529842
1	15.998255
1	15.947290
1	17.913646
1	16.140829
1	16.850472
1	16.231792
1	16.835634
1	15.352158
1	16.996594
1	16.349851
1	16.037931
1	16.495650
1	18.140732
1	16.956273
1	18.035253
1	19.468409
1	15.812458
1	17.957837
1	16.681125
1	18.230405
1	16.852407
1	15.719882
1	15.374737
1	17.080461
1	15.927936
1	16.315659
1	16.035673
1	15.697947
1	15.449895
1	16.466620
1	15.535374
1	15.124749
1	16.958209
1	16.409848
1	16.036640
1	16.329852
1	16.525326
1	16.081800
1	16.583065
1	15.973418
1	16.345980
1	16.734026
1	17.303031
1	16.840150
1	18.556518
1	16.104702
1	15.830521
1	16.790797
1	16.969176
1	16.254694
1	16.225663
1	15.804394
1	16.596613
1	17.153360
1	17.427541
1	16.230179
1	16.353722
1	18.437814
1	16.255339
1	15.334416
1	16.699834
1	15.836328
1	16.451782
1	17.457539
1	16.265016
1	16.301144
1	16.525971
1	15.776653
1	16.296950
1	16.667255
1	16.117927
1	16.335013
1	16.547261
1	15.324417
1	16.137281
1	16.889180
1	15.667304
1	15.303773
1	17.270774
1	16.084703
1	15.842134
1	17.490118
1	17.627531
1	16.233728
1	16.539197
1	16.675319
1	16.454362
1	17.189165
1	16.128571
1	15.616661
1	16.026318
1	16.464684
1	15.699237
1	16.324046
1	15.826651
1	15.530536
1	17.082719
1	16.423073
1	16.072445
1	16.730155
1	16.057607
1	16.871116
1	15.272161
1	16.758218
1	15.679238
1	16.394688
1	16.074381
1	16.039221
1	16.445330
1	17.181746
1	16.834344
1	16.482103
1	17.182391
1	16.414041
1	15.867939
1	16.475974
1	15.741493
1	15.858262
1	17.196584
1	16.478554
1	16.104056
1	18.145893
1	16.138248
1	15.235389
1	16.716607
1	15.518601
1	16.363076
1	16.626934
1	15.172489
1	16.186633
1	17.949773
1	16.551777
1	16.696931
1	16.619193
1	16.263081
1	15.946000
1	18.157505
1	16.456297
1	15.197971
1	15.124427
1	17.358512
1	16.774347
1	15.684722
1	17.182714
1	15.653756
1	16.440492
1	16.720156
1	15.612790
1	16.509843
