#size	rtt
2	22.511675
2	27.023421
2	23.409130
2	22.071817
2	25.082282
2	22.244116
2	21.979988
2	24.824332
2	22.276208
2	23.668984
2	21.247897
2	22.879715
2	22.273683
2	23.905863
2	19.938949
2	23.804812
2	25.003306
2	23.941577
2	23.199615
2	26.143038
2	21.959133
2	26.753319
2	23.052281
2	25.262776
2	20.848616
2	22.788828
2	25.195684
2	26.737513
2	21.366399
2	23.619341
2	22.382652
2	20.746313
2	21.773017
2	25.987243
2	22.197181
2	22.477772
2	20.222799
2	23.841615
2	24.346710
2	22.238225
2	27.943345
2	22.954871
2	24.025589
2	21.882364
2	23.267430
2	23.746429
2	24.783132
2	21.473360
2	21.831400
2	23.921889
2	23.690949
2	23.343265
2	21.364735
2	23.483867
2	23.637404
2	23.720947
2	25.894346
2	21.355505
2	20.909128
2	25.022148
2	23.625147
2	21.060485
2	21.659837
2	24.559988
2	43.954248
2	25.012274
2	23.089840
2	22.094467
2	24.182092
2	23.315419
2	23.123521
2	26.579107
2	23.182920
2	22.328465
2	22.990352
2	24.505801
2	23.875452
2	23.964801
2	22.900036
2	26.730417
2	20.566003
2	22.814660
2	25.541144
2	23.444837
2	20.357630
2	20.315708
2	21.826291
2	25.766343
2	23.324523
2	22.989179
2	24.870545
2	29.873427
2	26.178717
2	20.821469
2	23.429605
2	21.679475
2	23.207757
2	20.262798
2	24.819294
2	25.065433
2	23.845852
2	22.749826
2	23.489350
2	25.324675
2	23.015668
2	22.975192
2	21.857748
2	22.996158
2	21.410461
2	21.663329
2	26.014027
2	22.207503
2	21.720762
2	20.437738
2	20.675673
2	22.522823
2	20.183771
2	21.881662
2	21.422036
2	20.697284
2	24.313209
2	22.328785
2	24.135229
2	22.734042
2	25.130527
2	21.316919
2	20.840727
2	22.098421
2	23.521592
2	21.175987
2	20.822114
2	22.264366
2	20.031337
2	21.293609
2	20.799213
2	22.462969
2	26.243676
2	23.210617
2	20.584711
2	22.454583
2	24.690558
2	24.725463
2	26.388183
2	23.558700
2	22.197181
2	23.747397
2	25.198163
2	24.414448
2	21.033229
2	21.155931
2	20.289563
2	19.440274
2	23.248399
2	23.818360
2	24.227686
2	20.609684
2	25.402606
2	22.988417
2	21.392590
2	22.416419
2	22.397019
2	20.250218
2	20.715670
2	22.791656
2	20.797322
2	22.770774
2	23.267430
2	22.711339
2	22.892767
2	21.311758
2	24.399820
2	24.927867
2	24.593790
2	22.511030
2	19.907339
2	22.613926
2	22.855523
2	26.163052
2	25.806932
2	25.015733
2	23.133631
2	20.321826
2	21.597222
2	23.412428
2	21.173703
2	22.630054
2	22.807063
2	21.760114
2	20.210221
2	21.512408
2	23.585150
2	25.059564
2	21.818892
2	22.944226
2	21.544000
2	24.311229
2	22.769306
2	21.671606
2	22.103575
2	28.071293
2	20.963395
2	28.767675
2	20.459559
2	28.420024
2	23.756804
2	20.331503
2	22.849507
2	22.697272
2	24.138983
2	18.368914
2	21.525843
2	23.177113
2	20.132807
2	22.960361
2	23.659338
2	24.589319
2	22.593039
2	22.704243
2	22.971149
2	22.150087
2	24.105759
2	21.452071
2	26.582944
2	35.476221
2	26.080398
2	20.887873
2	25.439979
2	26.152409
2	22.152990
2	26.924350
2	22.363621
2	23.519993
2	20.952428
2	20.536202
2	20.558907
2	22.175570
2	24.001841
2	19.835086
2	25.170860
2	25.318604
2	20.017009
2	24.939990
2	20.915979
2	23.754816
2	20.800667
2	20.081520
2	22.821332
2	23.055742
2	21.681410
2	20.182471
2	22.969406
2	23.296180
2	20.339319
2	22.882741
2	23.713528
2	20.071198
2	20.216260
2	23.408710
2	18.959339
2	22.690050
2	20.079907
2	25.034727
2	22.745196
2	21.709795
2	22.051062
2	26.787394
2	21.949779
2	20.534715
2	28.590417
2	23.380648
2	23.000368
2	21.174993
2	22.950355
2	21.454006
2	21.583177
2	23.962543
2	20.471816
2	21.042653
2	23.757669
2	20.625010
2	20.119260
2	20.879852
2	19.854117
2	20.730508
2	24.238331
2	25.607269
2	22.599922
2	23.477093
2	23.113569
2	24.101194
2	22.805351
2	21.139493
2	21.881719
2	19.705740
2	23.482899
2	24.166180
2	22.318786
2	23.674955
2	21.475455
2	24.629447
2	21.830109
2	28.119572
2	23.681272
2	22.207180
2	21.346236
2	20.631160
2	22.093344
2	26.359517
2	21.543355
2	23.551926
2	23.941384
2	24.024152
2	22.717790
2	19.872502
2	25.526307
2	25.887809
2	24.210845
2	20.405691
2	21.335621
2	22.983578
2	22.214277
2	23.956160
2	22.679728
2	20.943514
2	20.003784
2	24.561060
2	23.981444
2	23.009282
2	20.371408
2	20.640792
2	20.246008
2	20.543751
2	22.658484
2	20.529876
2	22.434584
2	23.799796
2	19.932498
2	21.004037
2	20.823672
2	23.077765
2	23.192907
2	24.994085
2	20.205383
2	22.325237
2	20.895658
2	21.642860
2	20.290412
2	22.631022
2	21.338208
2	23.421290
2	22.873587
2	21.304043
2	25.633144
2	21.956230
2	22.677148
2	21.993782
2	24.212526
2	21.479811
2	20.087649
2	25.435216
2	20.297634
2	23.214818
2	22.890035
2	20.804083
2	24.795784
2	22.257822
2	20.825783
2	21.512712
2	21.857527
2	22.336102
2	23.374452
2	23.992541
2	22.761336
2	23.779975
2	22.442325
2	22.413973
2	20.235058
2	24.127802
2	25.099884
2	23.189693
2	20.726181
2	19.794443
2	19.895404
2	23.299659
2	21.821176
2	22.781334
2	24.852551
2	20.124182
2	21.934103
2	20.070553
2	22.535222
2	20.422350
2	21.196605
2	22.728403
2	23.442892
2	25.137624
2	20.117969
2	23.838115
2	22.626184
2	23.435300
2	22.039127
2	23.168287
2	21.532893
2	24.664108
2	19.805733
2	20.102508
2	21.295308
2	22.845846
2	22.236856
2	21.416412
2	21.934618
2	19.633809
2	23.190338
2	21.763610
2	27.742928
2	24.753779
2	24.122562
2	22.129121
2	23.502575
2	22.710494
2	20.822711
2	23.792078
2	22.097833
2	23.602568
2	21.989776
2	24.303488
2	25.369221
2	22.592315
2	23.940337
2	20.851790
2	28.809735
2	21.181122
2	19.888308
2	24.299294
2	19.925079
2	21.056876
2	21.631413
2	21.660514
2	22.486889
2	23.676434
2	20.580956
2	23.255173
2	22.547479
2	23.934481
2	21.612383
2	21.963326
2	22.564887
2	21.769146
2	21.151769
2	20.775389
2	23.402904
2	20.480966
2	22.866000
2	19.744769
2	23.899322
2	19.876273
2	26.689452
2	24.322841
2	24.409252
2	25.472561
2	24.712814
2	21.656316
2	21.468844
2	19.659291
2	21.400908
2	24.696519
2	20.177643
2	21.437556
2	23.008415
2	20.034749
2	23.284848
2	20.712445
2	20.351502
2	21.712134
2	25.521569
2	20.501591
2	20.559054
2	26.330630
2	23.230013
2	23.301846
2	21.156930
2	20.604387
2	21.609157
2	23.545826
2	19.990301
2	22.791979
2	22.534402
2	21.761727
2	20.591996
2	21.019741
2	20.166998
2	20.566934
2	24.379614
2	19.857987
2	19.685096
2	24.281325
2	22.191375
2	19.810078
2	22.532188
2	25.827140
2	24.469517
2	19.780515
2	23.844164
2	21.792693
2	22.770679
2	20.914449
2	21.980139
2	21.549889
2	21.169176
2	24.277822
2	22.490165
2	23.799974
2	19.086105
2	21.560451
2	21.367238
2	23.430669
2	23.970994
2	22.790366
2	22.616184
2	22.196674
2	24.275425
2	24.057053
2	23.316136
2	24.321551
2	22.422004
2	22.608754
2	21.810756
2	19.956690
2	23.522675
2	22.412138
2	21.206281
2	26.709335
2	21.628510
2	21.070807
2	36.855204
2	20.914689
2	21.754308
2	24.511538
2	23.864486
2	19.697353
2	22.340074
2	23.436450
2	24.244782
2	23.439999
2	20.973072
2	20.696591
2	20.131517
2	21.528215
2	21.278535
2	25.555982
2	21.302404
2	22.048482
2	21.459721
2	25.086014
2	20.890819
2	21.810756
2	24.019314
2	24.012540
2	20.529574
2	26.493659
2	24.725756
2	22.050417
2	21.533678
2	22.915841
2	24.999569
2	20.667609
2	21.420460
2	25.789787
2	24.559276
2	20.559229
2	21.714030
2	24.078735
2	22.483290
2	18.922050
2	21.106933
2	20.153336
2	20.878823
2	20.551165
2	19.997010
2	19.739931
2	21.694635
2	24.001573
2	19.990559
2	20.093132
2	21.187457
2	19.970560
2	22.610521
2	19.616040
2	18.273903
2	22.189478
2	20.975652
2	21.992679
2	24.032364
2	22.439745
2	25.084281
2	21.674841
2	27.724542
2	20.095068
2	21.567329
2	22.165572
2	26.222388
2	20.991845
2	23.552249
2	19.151262
2	20.372145
2	24.275425
2	21.347110
2	22.172021
2	20.802043
2	22.491354
2	22.493935
2	22.799075
2	21.544000
2	24.481217
2	24.000717
2	19.723158
2	21.750115
2	24.256250
2	22.200084
2	24.386292
2	24.014153
2	21.712053
2	20.376984
2	22.313947
2	24.505153
2	20.390854
2	29.827441
2	22.002356
2	21.018552
2	24.083503
2	34.928562
2	20.168611
2	21.779790
2	24.555012
2	20.455971
2	20.751152
2	23.970285
2	23.031317
2	20.670189
2	20.459832
2	22.088654
2	19.713804
2	18.600588
2	19.522204
2	19.875728
2	22.233963
2	24.851245
2	21.582707
2	22.423617
2	19.379311
2	24.000605
2	20.941784
2	19.838634
2	25.186653
2	21.573676
2	23.970607
2	23.291299
2	19.773154
2	20.329548
2	20.794648
2	20.556184
2	24.362097
2	22.579671
2	21.950424
2	23.515800
2	21.402429
2	19.654130
2	19.380278
2	20.278281
2	20.065715
2	21.733019
2	20.499408
2	19.853149
2	20.232141
2	22.074931
2	27.152688
2	18.786126
2	21.397236
2	22.611669
2	20.319246
2	22.104607
2	19.296979
2	20.447947
2	20.966930
2	23.231948
2	20.019266
2	21.850753
2	25.232219
2	20.013138
2	21.175961
2	23.585951
2	18.374541
2	18.714399
2	21.505871
2	21.150479
2	19.648647
2	19.878673
2	19.934756
2	19.176421
2	19.875172
2	20.603420
2	18.856443
2	21.532065
2	22.076228
2	19.988979
2	19.450918
2	19.598973
2	22.693756
2	21.953972
2	22.697354
2	21.500777
2	20.235381
2	23.380297
2	20.149580
2	21.592750
2	26.228907
2	20.221188
2	21.274341
2	19.451886
2	21.030056
2	20.275700
2	22.381975
2	22.944549
2	23.261653
2	18.542271
2	23.103248
2	18.579043
2	24.103344
2	19.731867
2	19.707352
2	21.244616
2	19.043184
2	22.931992
2	18.655812
2	22.715532
2	19.363592
2	19.344152
2	22.785528
2	19.935337
2	21.626700
2	19.283837
2	19.804443
2	24.938605
2	20.073134
2	18.826123
2	19.802681
2	18.550658
2	21.863576
2	21.021133
2	19.149442
2	19.839279
2	27.533041
2	22.357815
2	22.807462
2	19.629293
2	19.973463
2	20.797107
2	19.653163
