#size	rtt
1	27.320435
1	20.156788
1	19.731318
1	18.320717
1	19.033920
1	19.109724
1	19.713899
1	21.371267
1	20.054856
1	19.040049
1	19.803251
1	20.260011
1	19.572291
1	19.660998
1	20.681611
1	20.592904
1	18.334265
1	19.160368
1	17.827507
1	18.533613
1	19.468100
1	18.616837
1	19.023276
1	19.879055
1	18.671996
1	17.715575
1	18.851345
1	17.261395
1	18.651029
1	19.640676
1	19.679707
1	18.013630
1	19.084887
1	18.397811
1	17.975889
1	18.277170
1	17.915246
1	20.307106
1	20.989666
1	19.923247
1	18.047500
1	19.418102
1	25.150826
1	18.145239
1	18.402327
1	19.957762
1	18.535226
1	18.669416
1	18.734575
1	18.944568
1	18.118143
1	18.788767
1	19.930667
1	18.846184
1	19.269397
1	19.924215
1	21.231594
1	21.285140
1	18.703286
1	18.272654
1	19.572936
1	19.297783
1	18.437810
1	19.481971
1	18.722317
1	20.729996
1	22.646711
1	18.815863
1	18.763284
1	20.094532
1	17.802991
1	18.248139
1	19.403586
1	17.628481
1	18.903924
1	18.381038
1	18.112659
1	18.434907
1	18.048467
1	17.768799
1	19.556807
1	19.181658
1	18.907150
1	17.578160
1	18.473615
1	20.610968
1	19.515841
1	18.980051
1	19.400038
1	18.032984
1	18.487486
1	18.636836
1	18.728769
1	18.569741
1	21.826091
1	18.071047
1	19.357459
1	18.934246
1	18.758445
1	18.853603
1	19.072951
1	18.810702
1	16.927857
1	19.086822
1	18.347490
1	18.203301
1	18.681996
1	19.591322
1	18.132981
1	20.382588
1	18.613288
1	18.995857
1	19.947118
1	17.886537
1	18.462003
1	19.571000
1	18.046209
1	18.209108
1	18.274912
1	20.097758
1	18.593612
1	18.212656
1	19.087145
1	18.398456
1	19.197786
1	19.298106
1	20.218077
1	18.745865
1	19.172303
1	18.708447
1	20.698707
1	26.816580
1	19.369394
1	18.847475
1	18.686189
1	17.977179
1	18.672319
1	18.228139
1	18.506518
1	19.367458
1	19.978730
1	19.179400
1	18.283621
1	18.486518
1	19.150368
1	17.662996
1	19.340362
1	18.907150
1	18.371361
1	19.307138
1	20.272591
1	18.959407
1	19.233592
1	18.150400
1	18.150077
1	19.498422
1	18.484583
1	18.746510
1	20.090662
1	18.761348
1	19.236817
1	19.852282
1	19.862927
1	18.212656
1	19.313267
1	19.098757
1	18.016533
1	18.835217
1	18.445229
1	17.822345
1	18.074918
1	18.996825
1	18.834249
1	19.267784
1	19.463907
1	18.094272
1	18.147819
1	20.009051
1	20.603549
1	19.955182
1	18.884248
1	18.452003
1	17.897182
1	18.930375
1	19.330685
1	19.566807
1	19.124885
1	20.141628
1	18.449745
1	18.381038
1	17.908472
1	17.590095
1	18.753607
1	17.448809
1	17.429455
1	18.310717
1	18.982954
1	18.628449
1	18.866184
1	19.661320
1	18.741349
1	18.352974
1	18.975213
1	19.054242
1	20.040986
1	24.040215
1	18.997147
1	18.860700
1	20.206787
1	18.619095
1	18.122336
1	19.703577
1	17.877828
1	17.712671
1	25.416301
1	18.381038
1	18.310072
1	18.952310
1	18.715866
1	17.280104
1	19.259397
1	18.297169
1	19.702932
1	19.325202
1	19.709061
1	19.007470
1	19.162303
1	22.182209
1	17.732026
1	18.874571
1	18.425552
1	17.842345
1	18.327168
1	18.522324
1	18.590708
1	19.271010
1	18.467164
1	18.146529
1	17.652673
1	18.193624
1	18.095563
1	18.638771
1	19.677449
1	18.884570
1	19.264236
1	18.128787
1	17.496549
1	18.419424
1	19.357459
1	18.116530
1	19.557775
1	18.517162
1	18.098143
1	20.534519
1	20.424199
1	21.165789
1	20.482585
1	19.182948
1	19.142304
1	20.070985
1	19.688416
1	18.521356
1	18.244268
1	19.277461
1	18.997470
1	19.329395
1	20.432264
1	18.868119
1	17.820733
1	18.871667
1	19.699383
1	16.812700
1	20.540647
1	17.368489
1	17.601385
1	19.035211
1	18.198140
1	17.393972
1	18.942633
1	21.700611
1	17.298813
1	17.953632
1	17.930084
1	19.337459
1	18.854894
1	18.097498
1	17.742025
1	18.002340
1	19.817122
1	17.544290
1	18.573290
1	19.463907
1	20.014857
1	18.098466
1	20.232270
1	17.866538
1	18.300072
1	18.351361
1	19.390038
1	17.382037
1	18.001695
1	18.497808
1	17.455260
1	17.793637
1	18.303943
1	17.546225
1	19.814219
1	19.668094
1	18.164270
1	18.461680
1	17.104626
1	17.486227
1	19.513905
1	17.259460
1	17.823636
1	19.685513
1	18.718446
1	19.168755
1	17.340748
1	20.540325
1	18.315233
1	19.050049
1	19.475842
1	18.244913
1	19.555517
1	18.744897
1	18.951020
1	17.360102
1	18.901344
1	19.883894
1	18.197172
1	18.801024
1	18.346200
1	18.292653
1	19.125208
1	19.277784
1	18.948439
1	19.844540
1	18.296524
1	18.025565
1	17.875570
1	17.819120
1	18.141690
1	19.289396
1	18.091047
1	17.881053
1	18.061693
1	17.451067
1	18.705866
1	18.168464
1	18.624256
1	18.367167
1	18.773929
1	18.781993
1	18.443616
1	19.363588
1	18.803928
1	18.258783
1	17.765573
1	18.724575
1	17.923955
1	17.915891
1	19.512615
1	19.187141
1	18.940698
1	18.159432
1	18.022662
1	18.719092
1	19.928086
1	17.670737
1	17.766541
1	19.574549
1	18.781993
1	18.501356
1	18.502324
1	18.664577
1	18.158464
1	18.758445
1	18.596192
1	17.789443
1	18.921021
1	19.760672
1	20.565808
1	20.096468
1	20.105177
1	17.576547
1	18.717801
1	18.084273
1	18.133303
1	17.922020
1	19.144240
1	18.488131
1	19.608096
1	18.058145
1	19.312299
1	18.779735
1	20.259689
1	18.302976
1	17.933632
1	18.247493
1	19.368426
1	18.893280
1	19.813251
1	18.180399
1	18.282008
