# Hoverboard test (1048576 100 1000000000)
# time(ns),sleep_time(ns),repetitions
78285932,1000000000,100
77183008,1000000000,100
77480077,1000000000,100
79149961,1000000000,100
77027082,1000000000,100
78045129,1000000000,100
77240943,1000000000,100
77224969,1000000000,100
76792001,1000000000,100
76936006,1000000000,100
77194929,1000000000,100
76913833,1000000000,100
78102111,1000000000,100
77279090,1000000000,100
77229976,1000000000,100
77224969,1000000000,100
77316045,1000000000,100
76838970,1000000000,100
76760053,1000000000,100
78166007,1000000000,100
77285051,1000000000,100
77349901,1000000000,100
77911138,1000000000,100
76023101,1000000000,100
77235937,1000000000,100
76838016,1000000000,100
76797008,1000000000,100
77868938,1000000000,100
76606035,1000000000,100
77231884,1000000000,100
# Hoverboard test (1048576 100 1000000)
# time(ns),sleep_time(ns),repetitions
84559202,1000000,100
80879926,1000000,100
81238031,1000000,100
80646991,1000000,100
81049919,1000000,100
80794095,1000000,100
80667972,1000000,100
80536842,1000000,100
81670045,1000000,100
81498861,1000000,100
81256151,1000000,100
80715894,1000000,100
80914020,1000000,100
80754995,1000000,100
80798864,1000000,100
81009149,1000000,100
81262826,1000000,100
80989122,1000000,100
80632925,1000000,100
80399036,1000000,100
80378055,1000000,100
80487966,1000000,100
79985857,1000000,100
80204010,1000000,100
80057144,1000000,100
79461097,1000000,100
79864025,1000000,100
79884052,1000000,100
79734086,1000000,100
79782009,1000000,100
# Hoverboard test (1048576 100 1000)
# time(ns),sleep_time(ns),repetitions
80982923,1000,100
76503992,1000,100
76086997,1000,100
76655864,1000,100
76579093,1000,100
76163053,1000,100
76379776,1000,100
75920104,1000,100
76550006,1000,100
76683044,1000,100
76491832,1000,100
76341152,1000,100
76688051,1000,100
76587915,1000,100
76241016,1000,100
76051950,1000,100
75821876,1000,100
75933218,1000,100
75715065,1000,100
75625896,1000,100
76280832,1000,100
76112985,1000,100
76274871,1000,100
75750112,1000,100
76325178,1000,100
75882196,1000,100
75950860,1000,100
75701951,1000,100
76210021,1000,100
75932025,1000,100
# Hoverboard test (1048576 100 1)
# time(ns),sleep_time(ns),repetitions
81681013,1,100
79431056,1,100
79715013,1,100
79547166,1,100
79349040,1,100
79592943,1,100
79497098,1,100
79680919,1,100
79204082,1,100
79461097,1,100
79602003,1,100
78938007,1,100
79487800,1,100
79378128,1,100
79076051,1,100
79828977,1,100
79781055,1,100
79820871,1,100
79269886,1,100
78695058,1,100
79616069,1,100
78825950,1,100
79283952,1,100
78762054,1,100
78878164,1,100
78727960,1,100
79091072,1,100
79221963,1,100
79326868,1,100
78969955,1,100
# Hoverboard test (1048576 100 0)
# time(ns),sleep_time(ns),repetitions
77944993,0,100
75229883,0,100
75083971,0,100
74843883,0,100
74910879,0,100
74796915,0,100
74947834,0,100
74762105,0,100
74873924,0,100
74672937,0,100
74664115,0,100
74897050,0,100
74281930,0,100
74231147,0,100
73973894,0,100
74176073,0,100
73956012,0,100
74237823,0,100
73771953,0,100
74153900,0,100
74409008,0,100
74219942,0,100
74714899,0,100
74517965,0,100
74135065,0,100
74638843,0,100
74666976,0,100
74024200,0,100
74076175,0,100
73479175,0,100
# Hoverboard test (1048576 100 2)
# time(ns),sleep_time(ns),repetitions
77685117,2,100
75587034,2,100
75579881,2,100
75757026,2,100
75234889,2,100
75250864,2,100
75193881,2,100
75501918,2,100
75057029,2,100
74990987,2,100
74976921,2,100
74909925,2,100
75291872,2,100
75383901,2,100
74857950,2,100
75059890,2,100
75509071,2,100
75398921,2,100
75320005,2,100
75167894,2,100
76030015,2,100
75974941,2,100
74841022,2,100
74928998,2,100
74968099,2,100
74254035,2,100
75540065,2,100
74986934,2,100
74458837,2,100
75224876,2,100
# Hoverboard test (1048576 100 1001)
# time(ns),sleep_time(ns),repetitions
77265977,1001,100
75431108,1001,100
74564933,1001,100
74804067,1001,100
75062990,1001,100
74812889,1001,100
74659824,1001,100
74631929,1001,100
74598073,1001,100
74462175,1001,100
73859930,1001,100
73774099,1001,100
74263095,1001,100
74517965,1001,100
74826955,1001,100
74542045,1001,100
74684858,1001,100
74711084,1001,100
74555158,1001,100
74433088,1001,100
74102878,1001,100
74053049,1001,100
74125051,1001,100
74504137,1001,100
74701070,1001,100
74379920,1001,100
74470043,1001,100
74126958,1001,100
74982881,1001,100
73573112,1001,100
# Hoverboard test (1048576 100 1000001)
# time(ns),sleep_time(ns),repetitions
77244043,1000001,100
75309038,1000001,100
74747800,1000001,100
75000047,1000001,100
74867963,1000001,100
74837923,1000001,100
74736118,1000001,100
74711799,1000001,100
75729846,1000001,100
74220180,1000001,100
74345827,1000001,100
74568033,1000001,100
74596166,1000001,100
74293851,1000001,100
76170921,1000001,100
75073003,1000001,100
74740886,1000001,100
74976921,1000001,100
74700117,1000001,100
74558019,1000001,100
74995040,1000001,100
74807167,1000001,100
74748039,1000001,100
74735879,1000001,100
74490070,1000001,100
74448108,1000001,100
74453115,1000001,100
74205875,1000001,100
74702978,1000001,100
74663877,1000001,100
# Hoverboard test (1048576 100 1000000001)
# time(ns),sleep_time(ns),repetitions
84033966,1000000001,100
81163883,1000000001,100
80783128,1000000001,100
81222057,1000000001,100
82432031,1000000001,100
81254005,1000000001,100
81470012,1000000001,100
80384969,1000000001,100
82253932,1000000001,100
82629203,1000000001,100
81611871,1000000001,100
80569028,1000000001,100
81264019,1000000001,100
82142829,1000000001,100
82514047,1000000001,100
81930875,1000000001,100
80681800,1000000001,100
80280065,1000000001,100
82000017,1000000001,100
82167863,1000000001,100
80986976,1000000001,100
80839872,1000000001,100
81104993,1000000001,100
81703901,1000000001,100
82704067,1000000001,100
82201004,1000000001,100
81767082,1000000001,100
81636190,1000000001,100
81861019,1000000001,100
81905126,1000000001,100
