#size	rtt
1	35.577841
1	59.823906
1	35.928471
1	36.671020
1	48.096986
1	37.694848
1	35.719125
1	45.836759
1	36.595539
1	34.394988
1	36.169751
1	34.927869
1	36.698116
1	36.188137
1	35.015607
1	36.065239
1	44.395530
1	34.892709
1	39.297683
1	37.410344
1	35.334625
1	35.745253
1	39.102530
1	37.760329
1	36.229426
1	46.119328
1	34.865936
1	34.324991
1	37.308412
1	35.041412
1	36.436191
1	34.353054
1	35.141408
1	37.260027
1	34.109194
1	34.599495
1	37.680655
1	37.170676
1	43.920712
1	43.760718
1	36.488447
1	35.931374
1	36.087174
1	35.624290
1	33.690824
1	35.481393
1	35.772026
1	35.110441
1	33.654374
1	45.745473
1	33.908557
1	36.020403
1	34.577883
1	36.024919
1	34.157256
1	35.562035
1	45.877725
1	34.053067
1	36.858754
1	34.988511
1	34.430148
1	35.945245
1	34.008553
1	42.699796
1	35.740092
1	33.356322
1	36.025886
1	34.628526
1	35.394300
1	34.642397
1	37.272285
1	35.333658
1	34.264671
1	36.321035
1	38.993179
1	35.681707
1	33.749532
1	45.715474
1	35.833636
1	34.997543
1	36.012984
1	35.082378
1	35.754930
1	33.930169
1	39.875400
1	35.292369
1	36.924880
1	34.766585
1	35.823314
1	37.403892
1	37.443245
1	35.416235
1	37.794198
1	35.248500
1	34.638849
1	35.901053
1	34.728200
1	34.379182
1	39.473804
1	36.124269
1	34.750134
1	35.687191
1	35.868796
1	36.465545
1	35.543649
1	36.147817
1	33.978877
1	34.507564
1	36.566831
1	45.570641
1	36.367485
1	34.971092
1	36.267811
1	36.535219
1	36.232007
1	33.731790
1	34.855614
1	35.395591
1	34.235962
1	42.863982
1	36.531671
1	33.877268
1	35.390107
1	36.706825
1	35.421073
1	34.875613
1	43.568146
1	37.133581
1	34.867548
1	36.041370
1	34.515951
1	35.814282
1	35.312691
1	35.745253
1	33.283422
1	37.927096
1	34.421761
1	36.215878
1	36.457481
1	34.055325
1	42.798824
1	35.586550
1	34.082421
1	34.294992
1	37.307445
1	34.466598
1	35.019800
1	42.764632
1	35.500425
1	33.722759
1	35.753640
1	35.047218
1	35.343980
1	34.597883
1	39.747341
1	36.429418
1	34.679169
1	35.354947
1	34.626268
1	35.970082
1	34.967867
1	44.628101
1	35.483006
1	34.752070
1	35.610743
1	35.864925
1	35.419783
1	34.079840
1	42.852047
1	33.482124
1	38.018705
1	33.239553
1	36.963588
1	36.756823
1	33.106333
1	42.046920
1	36.104270
1	35.126570
1	35.006897
1	37.046165
1	35.489780
1	34.308540
1	39.218654
1	35.270435
1	35.966857
1	36.301681
1	35.695255
1	34.478210
1	34.567561
1	42.774954
1	34.421761
1	33.931459
1	32.919244
1	43.633305
1	34.921095
1	33.316647
1	40.936645
1	34.560142
1	35.303336
1	34.167901
1	37.017780
1	46.289643
1	34.437889
1	36.732308
1	34.288541
1	34.401439
1	36.033628
1	35.740415
1	33.038594
1	36.412644
1	42.746245
1	34.181771
1	33.693727
1	34.248865
1	36.352324
1	34.642074
1	34.565626
1	43.603951
1	34.778520
1	35.245919
1	34.551433
1	36.467480
1	35.428492
1	34.314991
1	42.594639
1	35.595259
1	33.647600
1	32.791508
1	38.161602
1	33.451802
1	35.072701
1	44.826157
1	34.488855
1	34.038874
1	34.185642
1	36.070401
1	34.044035
1	34.734973
1	35.831701
1	34.108226
1	36.163622
1	34.159837
1	33.788240
1	34.940771
1	34.719813
1	34.144353
1	35.933632
1	32.968274
1	34.304347
1	44.837124
1	35.573325
1	35.601711
1	37.182934
1	35.318820
1	34.506274
1	35.037219
1	35.254629
1	33.641472
1	34.019843
1	48.661478
1	34.372731
1	33.195684
1	34.908837
1	35.283015
1	34.362731
1	37.030360
1	36.426837
1	35.017865
1	35.554616
1	35.780413
1	34.722071
1	45.588705
1	33.850495
1	33.780175
1	35.799122
1	35.000446
1	34.008230
1	36.328777
1	37.013264
1	35.193664
1	43.840070
1	34.911418
1	34.782068
1	36.066852
1	34.379182
1	34.854968
1	33.947588
1	44.732935
1	33.254391
1	34.570787
1	33.982102
1	36.781983
1	34.888193
1	34.169191
1	33.859527
1	35.636871
1	34.431761
1	34.111452
1	34.204673
1	35.830088
1	34.733038
1	34.225318
1	35.670095
1	45.782568
1	32.869892
1	36.451030
1	35.842991
1	35.295917
1	34.156934
1	36.047176
1	37.116808
1	34.578851
1	38.685128
1	34.120806
1	36.076852
1	34.647558
