#size	rtt
1	45.990650
1	32.184198
1	33.964073
1	32.234194
1	32.101300
1	34.435330
1	33.010914
1	32.119686
1	33.323795
1	32.689324
1	32.609329
1	35.213018
1	32.168715
1	31.800031
1	31.831964
1	33.168000
1	31.175559
1	32.174844
1	33.193804
1	33.511202
1	36.849677
1	31.611335
1	31.794225
1	32.197423
1	33.264445
1	32.013565
1	32.439019
1	32.928017
1	31.784871
1	31.370061
1	33.896013
1	33.254768
1	31.507471
1	32.367733
1	31.784871
1	31.268455
1	46.023551
1	31.497794
1	32.289352
1	33.065104
1	31.864220
1	32.760932
1	34.031810
1	32.828346
1	30.856871
1	34.194380
1	32.175166
1	31.644558
1	32.732546
1	32.734159
1	32.789317
1	33.627645
1	32.861892
1	32.793510
1	33.541199
1	30.671723
1	31.277487
1	34.289534
1	31.768743
1	31.924861
1	34.512422
1	32.276772
1	32.648681
1	40.796820
1	31.696167
1	32.439986
1	32.646101
1	32.526754
1	31.252005
1	33.198643
1	31.137819
1	33.022849
1	31.884864
1	31.715843
1	31.581659
1	31.707134
1	30.788489
1	34.045680
1	33.439916
1	33.095747
1	33.211868
1	32.187101
1	31.316839
1	31.671330
1	32.018080
1	32.621264
1	33.058653
1	31.916152
1	31.801966
1	32.392248
1	32.093236
1	32.636102
1	32.798348
1	33.696672
1	34.014392
1	32.239033
1	32.428697
1	32.872214
1	31.561338
1	31.176849
1	39.918495
1	31.902927
1	32.459340
1	31.842609
1	31.797451
1	33.258639
1	32.528045
1	31.358127
1	32.249032
1	32.581589
1	31.713263
1	31.698103
1	33.580229
1	32.310963
1	31.126530
1	32.249032
1	32.881246
1	31.172656
1	32.792220
1	31.165882
1	31.580369
1	33.182192
1	31.212653
1	31.217169
1	31.650364
1	32.719322
1	32.299351
1	32.529335
1	32.371604
1	33.489268
1	32.525787
1	32.018725
1	30.723655
1	32.603523
1	32.030983
1	30.338843
1	32.809960
1	40.023649
1	47.323460
1	33.814406
1	32.183875
1	32.953821
1	32.244516
1	32.745771
1	34.099547
1	32.060658
1	34.807562
1	31.622624
1	31.271036
1	31.423283
1	33.387339
1	33.687963
1	32.842216
1	31.547468
1	31.388124
1	31.743261
1	33.167355
1	32.315801
1	36.191982
1	31.064921
1	34.276632
1	32.721902
1	31.376512
1	31.831964
1	31.964536
1	31.778742
1	32.868343
1	32.353863
1	31.744229
1	31.010732
1	32.800284
1	32.894148
1	31.617141
1	33.545070
1	32.278707
1	31.517470
1	31.194912
1	31.275552
1	33.904077
1	31.953246
1	33.363470
1	36.656143
1	33.327343
1	32.390312
1	32.834475
1	31.569080
1	32.312898
1	32.467081
1	34.086323
1	33.509911
1	32.411279
